nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;6;0.322708;79;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;9;0.331176;80;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;12;0.33622;80;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;15;0.344823;80;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;18;0.349776;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;21;0.369924;80;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;24;0.374586;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;27;0.38563;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;30;0.398762;80;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;33;0.411601;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;3;0.323815;80;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;6;0.336477;82;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;9;0.333594;80;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;12;0.334775;80;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;15;0.343169;80;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;18;0.350535;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;21;0.360707;80;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;24;0.37608;80;~2375;10.3104;30.9219
