comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.88          218                1                  128       1         0         2         5              4096        0           1           .000794      NA          .004956           .036741             .036741            1.88                 218           99
1.73          216                1                  128       1         0         2         5              8192        0           0           0.010113     NA          0.055879          0.282637            0.282636           0.34                 75            26
1.75          218                1                  128       1         0         2         5              8192        0           1           .001665      NA          .008485           .044189             .044189            1.75                 218           99
1.79          217                1                  128       1         0         2         5              40960       0           0           0.080115     NA          0.323534          0.694336            0.694335           0.94                 362           58
1.85          217                1                  128       1         0         2         5              40960       0           1           .010945      NA          .043654           .112567             .112567            1.85                 217           99
1.71          216                1                  128       1         0         2         10             4096        0           0           0.004257     NA          0.024014          0.417518            0.417517           0.47                 39            8
1.71          221                1                  128       1         0         2         10             4096        0           1           .000875      NA          .005684           .065932             .065932            1.71                 221           99
1.55          216                1                  128       1         0         2         10             8192        0           0           0.014418     NA          0.056132          0.495392            0.495391           0.56                 75            18
1.84          218                1                  128       1         0         2         10             8192        0           1           .001684      NA          .010012           .085829             .085829            1.84                 218           99
1.58          216                1                  128       1         0         2         10             40960       0           0           0.080144     NA          0.324783          1.100757            1.100756           1.36                 362           40
1.81          217                1                  128       1         0         2         10             40960       0           1           .009877      NA          .038654           .181327             .181327            1.81                 217           99
1.87          218                1                  128       1         0         2         20             4096        0           0           0.005448     NA          0.031468          0.799436            0.799436           0.88                 39            6
1.72          217                1                  128       1         0         2         20             4096        0           1           .000789      NA          .005822           .134250             .134250            1.72                 217           99
1.93          218                1                  128       1         0         2         20             8192        0           0           0.014476     NA          0.064387          0.932622            0.932621           1.04                 75            10
1.58          216                1                  128       1         0         2         20             8192        0           1           .001565      NA          .008751           .160534             .160534            1.58                 216           99
1.86          216                1                  128       1         0         2         20             40960       0           0           0.050714     NA          0.264184          1.991586            1.991586           2.27                 362           19
1.72          218                1                  128       1         0         2         20             40960       0           1           .010576      NA          .047885           .331650             .331650            1.72                 218           99
1.71          216                1                  128       1         0         2         40             4096        0           0           0.007131     NA          0.035996          1.585345            1.585344           1.73                 39            3
1.85          217                1                  128       1         0         2         40             4096        0           1           .000758      NA          .006292           .266322             .266321            1.85                 217           100
1.91          217                1                  128       1         0         2         40             8192        0           0           0.009844     NA          0.057543          1.931795            1.931794           2.09                 75            4
1.57          216                1                  128       1         0         2         40             8192        0           1           .001599      NA          .009826           .305678             .305678            1.57                 216           99
1.54          218                1                  128       1         0         2         40             40960       0           0           0.079566     NA          0.325524          3.769994            3.769993           4.10                 362           13
1.69          217                1                  128       1         0         2         40             40960       0           1           .010841      NA          .047679           .622990             .622990            1.69                 217           100
1.72          217                1                  128       1         0         2         60             4096        0           0           0.007393     NA          0.035544          2.245365            2.245364           2.44                 39            2
1.54          218                1                  128       1         0         2         60             4096        0           1           .000746      NA          .005277           .406005             .406004            1.54                 218           99
1.70          218                1                  128       1         0         2         60             8192        0           0           0.014599     NA          0.068294          2.880888            2.880887           3.09                 75            3
1.82          217                1                  128       1         0         2         60             8192        0           1           .001564      NA          .009452           .456745             .456745            1.82                 217           99
1.56          217                1                  128       1         0         2         60             40960       0           0           0.047912     NA          0.233008          5.493593            5.493592           5.90                 362           6
1.68          218                1                  128       1         0         2         60             40960       0           1           .010026      NA          .047975           .920993             .920993            1.68                 218           99
1.74          217                1                  128       1         0         2         80             4096        0           0           0.005862     NA          0.033340          3.314856            3.314855           3.59                 39            1
1.74          217                1                  128       1         0         2         80             4096        0           1           .000759      NA          .005358           .502761             .502761            1.74                 217           100
1.56          216                1                  128       1         0         2         80             8192        0           0           0.014362     NA          0.058590          3.797401            3.797400           4.08                 75            2
1.71          216                1                  128       1         0         2         80             8192        0           1           .001740      NA          .010811           .606461             .606461            1.71                 216           99
1.47          218                1                  128       1         0         2         80             40960       0           0           0.047223     NA          0.249095          7.629440            7.629439           8.04                 362           5
1.87          218                1                  128       1         0         2         80             40960       0           1           .010253      NA          .040495           1.245266            1.245266           1.87                 218           99
1.79          217                1                  128       1         0         2         100            4096        0           0           0.007317     NA          0.030211          3.725077            3.725076           4.05                 39            1
1.86          217                1                  128       1         0         2         100            4096        0           1           .000755      NA          .005569           .678852             .678852            1.86                 217           100
1.86          218                1                  128       1         0         2         100            8192        0           0           0.014930     NA          0.067376          4.645862            4.645861           4.97                 75            2
1.71          218                1                  128       1         0         2         100            8192        0           1           .001572      NA          .010272           .772062             .772061            1.71                 218           100
1.85          217                1                  128       1         0         2         100            40960       0           0           0.047408     NA          0.274100          9.919373            9.919372           10.44                362           4
1.73          216                1                  128       1         0         2         100            40960       0           1           .010859      NA          .040333           1.515905            1.515905           1.73                 216           100
1.66          216                1                  128       1         0         2         300            4096        0           0           0.007906     NA          0.042941          12.040126           12.040125          12.96                39            0
1.80          217                1                  128       1         0         2         300            4096        0           1           .000830      NA          .006638           2.026577            2.026577           1.80                 217           99
1.74          220                1                  128       1         0         2         300            8192        0           0           0.014355     NA          0.069394          14.763690           14.763689          15.71                75            0
