comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.89          233                1                  0    1        128       0         1         0         4         24576       0           0           0.008497     NA          0.213377          0.331302            0.331301           0.41                 123           66
0.02          3                  1                  0    1        128       0         1         0         4         24576       0           1           .001853      NA          .042687           .060556             .060556            0.49                 170           426
2.89          232                1                  0    1        128       0         1         0         4         28672       0           0           0.009925     NA          0.246653          0.376012            0.376011           0.46                 142           70
0.02          3                  1                  0    1        128       0         1         0         4         28672       0           1           .002127      NA          .050790           .071261             .071261            0.58                 198           421
2.90          233                1                  0    1        128       0         1         0         4         32768       0           0           0.011322     NA          0.280289          0.430105            0.430104           0.53                 162           69
0.02          3                  1                  0    1        128       0         1         0         4         32768       0           1           .002478      NA          .058082           .081742             .081742            0.65                 225           426
2.89          233                1                  0    1        128       0         1         0         4         36864       0           0           0.012733     NA          0.314731          0.474480            0.474478           0.59                 182           69
0.02          3                  1                  0    1        128       0         1         0         4         36864       0           1           .002725      NA          .064982           .092228             .092228            0.72                 253           433
2.90          232                1                  0    1        128       0         1         0         4         40960       0           0           0.014134     NA          0.348723          0.545129            0.545128           0.66                 202           67
0.02          3                  1                  0    1        128       0         1         0         4         40960       0           1           .003021      NA          .071729           .102520             .102519            0.79                 281           435
2.89          233                1                  0    1        128       0         1         0         5         4096        0           0           0.002005     NA          0.049094          0.073817            0.073816           0.09                 27            71
0.02          3                  1                  0    1        128       0         1         0         5         4096        0           1           .000334      NA          .007830           .010549             .010549            0.10                 31            415
2.90          233                1                  0    1        128       0         1         0         5         8192        0           0           0.003489     NA          0.088821          0.131259            0.131257           0.17                 51            69
0.02          3                  1                  0    1        128       0         1         0         5         8192        0           1           .000633      NA          .015300           .021915             .021914            0.19                 59            403
2.89          233                1                  0    1        128       0         1         0         5         12288       0           0           0.004307     NA          0.119654          0.177695            0.177693           0.22                 75            67
0.02          3                  1                  0    1        128       0         1         0         5         12288       0           1           .000924      NA          .025122           .032183             .032183            0.26                 87            457
2.90          233                1                  0    1        128       0         1         0         5         16384       0           0           0.005791     NA          0.154015          0.231115            0.231114           0.28                 99            71
0.02          3                  1                  0    1        128       0         1         0         5         16384       0           1           .001218      NA          .031753           .043072             .043071            0.34                 115           443
2.90          232                1                  0    1        128       0         1         0         5         20480       0           0           0.007180     NA          0.192795          0.293558            0.293557           0.36                 123           69
0.02          3                  1                  0    1        128       0         1         0         5         20480       0           1           .001473      NA          .040033           .056520             .056519            0.44                 142           428
2.92          233                1                  0    1        128       0         1         0         5         24576       0           0           0.008637     NA          0.228908          0.345396            0.345395           0.42                 147           71
0.02          3                  1                  0    1        128       0         1         0         5         24576       0           1           .001768      NA          .051340           .065790             .065790            0.51                 170           463
2.90          233                1                  0    1        128       0         1         0         5         28672       0           0           0.010006     NA          0.265253          0.397198            0.397197           0.48                 171           70
0.02          3                  1                  0    1        128       0         1         0         5         28672       0           1           .002128      NA          .056609           .075776             .075776            0.59                 198           449
2.89          233                1                  0    1        128       0         1         0         5         32768       0           0           0.011466     NA          0.308279          0.445538            0.445537           0.53                 195           73
0.02          3                  1                  0    1        128       0         1         0         5         32768       0           1           .002350      NA          .063736           .086044             .086044            0.67                 226           446
2.90          234                1                  0    1        128       0         1         0         5         36864       0           0           0.012872     NA          0.338749          0.510366            0.510364           0.61                 219           71
0.02          3                  1                  0    1        128       0         1         0         5         36864       0           1           .002611      NA          .073277           .096410             .096410            0.74                 254           458
2.90          234                1                  0    1        128       0         1         0         5         40960       0           0           0.014243     NA          0.377289          0.551747            0.551746           0.67                 243           70
0.02          3                  1                  0    1        128       0         1         0         5         40960       0           1           .002798      NA          .083111           .108236             .108236            0.83                 282           461
2.85          232                1                  0    1        128       0         1         0         6         4096        0           0           0.001011     NA          0.014955          0.017318            0.017317           0.04                 19            72
0.02          3                  1                  0    1        128       0         1         0         6         4096        0           1           .000103      NA          .002248           .003237             .003237            0.05                 19            367
2.85          233                1                  0    1        128       0         1         0         6         8192        0           0           0.001795     NA          0.032134          0.033069            0.033068           0.06                 35            91
0.02          3                  1                  0    1        128       0         1         0         6         8192        0           1           .000191      NA          .006389           .007789             .007789            0.09                 35            440
2.85          233                1                  0    1        128       0         1         0         6         12288       0           0           0.002522     NA          0.050278          0.052627            0.052626           0.09                 51            91
0.02          3                  1                  0    1        128       0         1         0         6         12288       0           1           .000262      NA          .009256           .012284             .012284            0.14                 51            430
2.84          233                1                  0    1        128       0         1         0         6         16384       0           0           0.003403     NA          0.061719          0.068055            0.068054           0.12                 67            90
0.02          3                  1                  0    1        128       0         1         0         6         16384       0           1           .000342      NA          .012994           .016320             .016319            0.18                 67            448
2.85          231                1                  0    1        128       0         1         0         6         20480       0           0           0.003621     NA          0.072632          0.074771            0.074770           0.13                 83            90
0.02          3                  1                  0    1        128       0         1         0         6         20480       0           1           .000438      NA          .015598           .020827             .020827            0.21                 83            458
2.86          232                1                  0    1        128       0         1         0         6         24576       0           0           0.004342     NA          0.087713          0.097008            0.097007           0.16                 99            91
0.02          3                  1                  0    1        128       0         1         0         6         24576       0           1           .000514      NA          .019240           .025174             .025173            0.25                 99            460
2.86          232                1                  0    1        128       0         1         0         6         28672       0           0           0.005081     NA          0.102162          0.115913            0.115913           0.19                 115           87
0.02          3                  1                  0    1        128       0         1         0         6         28672       0           1           .000586      NA          .023659           .028667             .028667            0.29                 115           481
2.86          232                1                  0    1        128       0         1         0         6         32768       0           0           0.005782     NA          0.115541          0.128510            0.128509           0.21                 131           90
0.02          3                  1                  0    1        128       0         1         0         6         32768       0           1           .000703      NA          .026918           .033738             .033738            0.35                 131           458
2.85          231                1                  0    1        128       0         1         0         6         36864       0           0           0.006497     NA          0.131735          0.152445            0.152444           0.24                 147           91
0.02          3                  1                  0    1        128       0         1         0         6         36864       0           1           .000755      NA          .030411           .037075             .037075            0.37                 147           482
2.85          231                1                  0    1        128       0         1         0         6         40960       0           0           0.007198     NA          0.145985          0.162598            0.162597           0.26                 163           87
0.02          3                  1                  0    1        128       0         1         0         6         40960       0           1           .000806      NA          .032651           .042386             .042386            0.42                 163           455
2.75          228                1                  0    1        128       2         1         0         1         4096        0           0           0.000048     NA          0.001211          0.004905            0.004905           0.01                 4             40
0.02          3                  1                  0    1        128       2         1         0         1         4096        0           1           .000010      NA          .000233           .000287             .000287            0.01                 4             205
2.76          232                1                  0    1        128       2         1         0         1         8192        0           0           0.000082     NA          0.003011          0.002191            0.002190           0.02                 4             31
0.02          3                  1                  0    1        128       2         1         0         1         8192        0           1           .000017      NA          .000480           .000404             .000404            0.01                 4             294
2.76          229                1                  0    1        128       2         1         0         1         12288       0           0           0.000138     NA          0.003802          0.003026            0.003025           0.02                 4             41
0.02          3                  1                  0    1        128       2         1         0         1         12288       0           1           .000026      NA          .000576           .000568             .000568            0.02                 4             212
2.76          230                1                  0    1        128       2         1         0         1         16384       0           0           0.000166     NA          0.004990          0.006965            0.006963           0.02                 5             47
0.02          3                  1                  0    1        128       2         1         0         1         16384       0           1           .000034      NA          .000723           .000955             .000955            0.02                 5             285
2.74          230                1                  0    1        128       2         1         0         1         20480       0           0           0.000218     NA          0.005940          0.005102            0.005101           0.02                 5             42
0.02          3                  1                  0    1        128       2         1         0         1         20480       0           1           .000044      NA          .000895           .000843             .000842            0.02                 5             256
2.75          231                1                  0    1        128       2         1         0         1         24576       0           0           0.000452     NA          0.007171          0.007406            0.007405           0.02                 5             56
0.02          3                  1                  0    1        128       2         1         0         1         24576       0           1           .000049      NA          .000956           .001430             .001430            0.02                 6             264
2.77          229                1                  0    1        128       2         1         0         1         28672       0           0           0.000298     NA          0.008248          0.006740            0.006738           0.02                 6             59
0.02          3                  1                  0    1        128       2         1         0         1         28672       0           1           .000057      NA          .001308           .001051             .001051            0.02                 6             368
2.79          231                1                  0    1        128       2         1         0         1         32768       0           0           0.000280     NA          0.007260          0.007284            0.007284           0.01                 6             72
0.02          3                  1                  0    1        128       2         1         0         1         32768       0           1           .000064      NA          .001674           .001431             .001431            0.02                 6             408
2.75          229                1                  0    1        128       2         1         0         1         36864       0           0           0.000689     NA          0.010300          0.008558            0.008557           0.02                 7             90
0.02          3                  1                  0    1        128       2         1         0         1         36864       0           1           .000078      NA          .001599           .001723             .001723            0.03                 7             287
2.74          230                1                  0    1        128       2         1         0         1         40960       0           0           0.000420     NA          0.011546          0.009830            0.009829           0.02                 7             81
0.02          3                  1                  0    1        128       2         1         0         1         40960       0           1           .000097      NA          .001840           .001707             .001707            0.02                 7             404
2.74          229                1                  0    1        128       2         1         0         2         4096        0           0           0.000045     NA          0.001139          0.003042            0.003041           0.01                 3             46
0.02          3                  1                  0    1        128       2         1         0         2         4096        0           1           .000009      NA          .000177           .000266             .000266            0.02                 4             195
2.74          231                1                  0    1        128       2         1         0         2         8192        0           0           0.000088     NA          0.001834          0.001172            0.001171           0.01                 4             63
0.02          3                  1                  0    1        128       2         1         0         2         8192        0           1           .000014      NA          .000261           .000317             .000317            0.02                 4             181
2.73          228                1                  0    1        128       2         1         0         2         12288       0           0           0.000103     NA          0.002082          0.002261            0.002260           0.01                 4             54
0.02          3                  1                  0    1        128       2         1         0         2         12288       0           1           .000019      NA          .000327           .000428             .000427            0.02                 4             181
2.74          229                1                  0    1        128       2         1         0         2         16384       0           0           0.000150     NA          0.003257          0.002663            0.002662           0.01                 4             69
0.02          3                  1                  0    1        128       2         1         0         2         16384       0           1           .000026      NA          .000420           .000739             .000739            0.02                 4             176
2.73          228                1                  0    1        128       2         1         0         2         20480       0           0           0.000364     NA          0.003851          0.003309            0.003308           0.01                 4             73
0.02          3                  1                  0    1        128       2         1         0         2         20480       0           1           .000030      NA          .000567           .000483             .000483            0.01                 5             325
2.73          229                1                  0    1        128       2         1         0         2         24576       0           0           0.000214     NA          0.003885          0.002912            0.002911           0.01                 5             47
0.02          3                  1                  0    1        128       2         1         0         2         24576       0           1           .000035      NA          .000740           .000654             .000654            0.01                 5             341
