comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.32          214                1                  3           512       1         0         4         16             40960       0           0           0.089060     NA          0.256130          4.413808            4.413807           4.96                 958           15
1.32          213                1                  3           512       1         0         4         16             40960       0           1           .017959      NA          .051464           .724963             .724962            1.32                 213           100
1.31          214                1                  3           512       1         0         4         18             40960       0           0           0.090831     NA          0.265814          4.842885            4.842884           5.40                 958           14
1.31          214                1                  3           512       1         0         4         18             40960       0           1           .017887      NA          .051813           .813135             .813135            1.31                 214           99
1.33          212                1                  3           512       1         0         4         20             40960       0           0           0.090253     NA          0.264622          5.450001            5.450000           6.01                 958           12
1.31          214                1                  3           512       1         0         4         20             40960       0           1           .017862      NA          .051383           .900199             .900198            1.31                 214           99
1.33          213                1                  3           512       1         0         5         1              40960       0           0           0.094386     NA          0.325162          0.808413            0.808413           1.31                 1121          62
1.33          214                1                  3           512       1         0         5         1              40960       0           1           .018544      NA          .067936           .143591             .143591            1.33                 214           99
1.34          215                1                  3           512       1         0         5         2              40960       0           0           0.093830     NA          0.325072          0.928544            0.928543           1.44                 1121          57
1.34          213                1                  3           512       1         0         5         2              40960       0           1           .018483      NA          .066642           .164923             .164923            1.34                 213           99
1.33          213                1                  3           512       1         0         5         4              40960       0           0           0.096529     NA          0.334881          1.523534            1.523533           2.04                 1121          41
1.34          213                1                  3           512       1         0         5         4              40960       0           1           .018365      NA          .064462           .262844             .262844            1.34                 213           100
1.32          213                1                  3           512       1         0         5         6              40960       0           0           0.093991     NA          0.323157          2.150262            2.150261           2.67                 1121          30
1.34          213                1                  3           512       1         0         5         6              40960       0           1           .018389      NA          .063932           .364030             .364030            1.34                 213           99
1.33          213                1                  3           512       1         0         5         8              40960       0           0           0.096196     NA          0.326343          2.771574            2.771573           3.30                 1121          25
1.33          215                1                  3           512       1         0         5         8              40960       0           1           .018393      NA          .064073           .467558             .467558            1.33                 215           99
1.33          214                1                  3           512       1         0         5         10             40960       0           0           0.095415     NA          0.321990          3.395268            3.395268           3.93                 1121          20
1.33          214                1                  3           512       1         0         5         10             40960       0           1           .018439      NA          .063427           .569431             .569431            1.33                 214           100
1.33          214                1                  3           512       1         0         5         12             40960       0           0           0.094433     NA          0.328142          4.050595            4.050594           4.59                 1121          18
1.34          213                1                  3           512       1         0         5         12             40960       0           1           .018476      NA          .063251           .676790             .676790            1.34                 213           100
1.34          213                1                  3           512       1         0         5         14             40960       0           0           0.094887     NA          0.334467          4.664917            4.664916           5.21                 1121          16
1.34          213                1                  3           512       1         0         5         14             40960       0           1           .018378      NA          .063347           .777562             .777562            1.34                 213           99
1.33          214                1                  3           512       1         0         5         16             40960       0           0           0.096372     NA          0.334469          5.231315            5.231314           5.78                 1121          14
1.33          213                1                  3           512       1         0         5         16             40960       0           1           .018462      NA          .062947           .876376             .876376            1.33                 213           99
1.33          214                1                  3           512       1         0         5         18             40960       0           0           0.096634     NA          0.335587          5.795123            5.795122           6.35                 1123          13
1.34          214                1                  3           512       1         0         5         18             40960       0           1           .018366      NA          .063406           .982214             .982213            1.34                 214           99
1.33          213                1                  3           512       1         0         5         20             40960       0           0           0.095445     NA          0.327364          6.527496            6.527495           7.09                 1121          11
1.33          215                1                  3           512       1         0         5         20             40960       0           1           .018517      NA          .064188           1.083499            1.083498           1.33                 215           100
1.33          213                1                  3           512       1         0         6         1              40960       0           0           0.051003     NA          0.143562          0.382160            0.382159           0.84                 803           71
1.31          213                1                  3           512       1         0         6         1              40960       0           1           .010531      NA          .024108           .065458             .065458            1.31                 213           100
1.32          213                1                  3           512       1         0         6         2              40960       0           0           0.051089     NA          0.143030          0.418634            0.418633           0.88                 803           67
1.33          213                1                  3           512       1         0         6         2              40960       0           1           .010558      NA          .024110           .073664             .073664            1.33                 213           99
1.32          214                1                  3           512       1         0         6         4              40960       0           0           0.051033     NA          0.145525          0.663522            0.663522           1.13                 803           53
1.31          214                1                  3           512       1         0         6         4              40960       0           1           .010540      NA          .023659           .113597             .113597            1.31                 214           100
1.31          213                1                  3           512       1         0         6         6              40960       0           0           0.049261     NA          0.141469          0.892944            0.892944           1.36                 804           43
1.32          214                1                  3           512       1         0         6         6              40960       0           1           .010537      NA          .023432           .156659             .156658            1.32                 214           99
1.31          213                1                  3           512       1         0         6         8              40960       0           0           0.049894     NA          0.142499          1.135114            1.135113           1.61                 803           36
1.32          212                1                  3           512       1         0         6         8              40960       0           1           .010549      NA          .023656           .195298             .195298            1.32                 212           99
1.32          214                1                  3           512       1         0         6         10             40960       0           0           0.050005     NA          0.141916          1.380166            1.380165           1.86                 803           31
1.31          217                1                  3           512       1         0         6         10             40960       0           1           .010508      NA          .023687           .236063             .236063            1.31                 217           99
1.31          214                1                  3           512       1         0         6         12             40960       0           0           0.050496     NA          0.144968          1.694682            1.694681           2.18                 803           27
1.31          213                1                  3           512       1         0         6         12             40960       0           1           .010542      NA          .023872           .276546             .276546            1.31                 213           99
1.32          214                1                  3           512       1         0         6         14             40960       0           0           0.050771     NA          0.148981          1.946590            1.946589           2.44                 803           24
1.31          214                1                  3           512       1         0         6         14             40960       0           1           .010580      NA          .023493           .320893             .320893            1.31                 214           99
1.33          214                1                  3           512       1         0         6         16             40960       0           0           0.049961     NA          0.145160          2.131715            2.131715           2.63                 803           22
1.31          213                1                  3           512       1         0         6         16             40960       0           1           .010476      NA          .023801           .364387             .364387            1.31                 213           99
1.33          214                1                  3           512       1         0         6         18             40960       0           0           0.051872     NA          0.143772          2.339020            2.339020           2.84                 804           21
1.31          213                1                  3           512       1         0         6         18             40960       0           1           .010422      NA          .023706           .403917             .403917            1.31                 213           100
1.32          213                1                  3           512       1         0         6         20             40960       0           0           0.049467     NA          0.144021          2.618023            2.618023           3.13                 803           19
1.31          213                1                  3           512       1         0         6         20             40960       0           1           .010505      NA          .023700           .439829             .439829            1.31                 213           99
1.38          216                1                  2.8         512       1         0         1         1              40960       0           0           0.055617     NA          0.431659          0.502965            0.502965           0.96                 1273          92
1.37          215                1                  2.8         512       1         0         1         1              40960       0           1           .011726      NA          .094814           .115901             .115900            1.37                 215           100
1.38          215                1                  2.8         512       1         0         1         2              40960       0           0           0.056205     NA          0.427873          0.547483            0.547482           1.01                 1273          87
1.37          216                1                  2.8         512       1         0         1         2              40960       0           1           .011755      NA          .096272           .115071             .115071            1.37                 216           99
1.38          216                1                  2.8         512       1         0         1         4              40960       0           0           0.055730     NA          0.431329          0.818184            0.818183           1.29                 1274          68
1.38          215                1                  2.8         512       1         0         1         4              40960       0           1           .011800      NA          .091449           .145546             .145546            1.38                 215           99
2.69          216                1                  2.8         512       1         0         1         6              40960       0           0           0.056896     NA          0.431932          1.072840            1.072839           1.55                 1273          57
1.38          215                1                  2.8         512       1         0         1         6              40960       0           1           .011785      NA          .088225           .189638             .189638            1.38                 215           100
1.38          215                1                  2.8         512       1         0         1         8              40960       0           0           0.055137     NA          0.418844          1.306995            1.306994           1.79                 1274          49
1.37          215                1                  2.8         512       1         0         1         8              40960       0           1           .011872      NA          .087212           .230712             .230712            1.37                 215           99
1.37          215                1                  2.8         512       1         0         1         10             40960       0           0           0.055858     NA          0.425506          1.589677            1.589676           2.08                 1273          42
1.38          215                1                  2.8         512       1         0         1         10             40960       0           1           .011718      NA          .085018           .276417             .276416            1.38                 215           99
1.37          216                1                  2.8         512       1         0         1         12             40960       0           0           0.055629     NA          0.431974          1.868588            1.868587           2.36                 1274          37
1.38          215                1                  2.8         512       1         0         1         12             40960       0           1           .011789      NA          .085669           .316388             .316388            1.38                 215           100
1.37          215                1                  2.8         512       1         0         1         14             40960       0           0           0.055514     NA          0.437091          2.127290            2.127290           2.63                 1274          34
1.37          216                1                  2.8         512       1         0         1         14             40960       0           1           .011726      NA          .086457           .362962             .362962            1.37                 216           99
1.37          215                1                  2.8         512       1         0         1         16             40960       0           0           0.056362     NA          0.437638          2.397208            2.397207           2.90                 1275          31
1.37          215                1                  2.8         512       1         0         1         16             40960       0           1           .011876      NA          .085585           .404254             .404254            1.37                 215           99
