nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;latencies(ms);bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;0;70;30;41.1422;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;0;60;30;43.8785;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;0;50;30;48.1252;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;0;40;30;54.1554;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;0;30;30;64.2133;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;0;20;30;84.5718;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;0;10;30;147.574;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;190320;117120;14671;0;100;30;2.66855;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;0;90;30;2.68411;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;0;80;30;2.69031;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;0;70;30;2.79925;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;0;60;30;2.88106;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;0;50;30;2.97873;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;0;40;30;3.16448;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;0;30;30;3.44972;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;0;20;30;4.12382;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;0;10;30;7.43853;~14711;7.18416;21.7125
