nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;120;11.814;NA;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;130;13.5455;NA;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;140;15.9625;NA;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;150;18.2477;NA;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;160;20.8328;NA;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;170;23.1908;NA;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;180;25.9405;NA;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;190;28.9949;NA;NA;159.918;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;200;32.0266;NA;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;10;0.126168;NA;NA;1.31998;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;20;0.404375;NA;NA;2.62294;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;30;0.84778;NA;NA;4.7387;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;40;1.39893;NA;NA;7.66726;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;50;2.21;NA;NA;11.4086;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;60;3.1109;NA;NA;16.7925;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;70;4.33303;NA;NA;22.1595;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;80;5.50332;NA;NA;29.1689;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;90;7.10855;NA;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;100;8.60941;NA;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;110;10.5512;NA;NA;54.2445;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;120;12.2873;NA;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;130;14.1373;NA;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;140;16.6106;NA;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;150;18.4556;NA;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;160;21.4571;NA;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;170;25.0613;NA;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;180;27.5169;NA;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;190;30.0347;NA;NA;159.918;NA
