comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;splitroles;inittime(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.99;231;1;64;5;3584;0;0;0.005247;0.014421;0.061770;0.061769;0.08;16;43
3.00;231;1;64;5;4096;0;0;0.005303;0.015665;0.068797;0.068796;0.09;17;38
3.00;231;1;64;6;512;0;0;0.000416;0.001748;0.004006;0.004005;0.01;5;72
2.99;231;1;64;6;1024;0;0;0.000630;0.001829;0.006600;0.006599;0.02;6;52
2.98;231;1;64;6;1536;0;0;0.000967;0.002234;0.009749;0.009748;0.02;7;52
2.99;230;1;64;6;2048;0;0;0.001428;0.003358;0.012465;0.012464;0.02;8;50
3.01;231;1;64;6;2560;0;0;0.001872;0.004773;0.015938;0.015937;0.03;10;64
2.97;231;1;64;6;3072;0;0;0.002066;0.005231;0.018344;0.018343;0.04;13;53
2.99;231;1;64;6;3584;0;0;0.002264;0.006284;0.022368;0.022367;0.03;12;53
2.99;231;1;64;6;4096;0;0;0.002673;0.006733;0.025096;0.025095;0.05;13;60
3.11;237;1;128;1;512;0;0;0.000783;0.006473;0.015256;0.015255;0.02;7;57
3.11;236;1;128;1;1024;0;0;0.001454;0.011817;0.025451;0.025450;0.03;11;59
3.10;237;1;128;1;1536;0;0;0.001985;0.016667;0.036617;0.036616;0.05;15;55
3.11;237;1;128;1;2048;0;0;0.002885;0.024617;0.066123;0.066122;0.09;19;53
3.12;237;1;128;1;2560;0;0;0.003585;0.034601;0.072820;0.072819;0.10;25;59
3.12;237;1;128;1;3072;0;0;0.003125;0.035399;0.086611;0.086611;0.12;27;53
3.09;237;1;128;1;3584;0;0;0.004901;0.039986;0.083849;0.083848;0.12;31;60
3.12;236;1;128;1;4096;0;0;0.004597;0.050246;0.096554;0.096553;0.12;37;63
3.06;236;1;128;2;512;0;0;0.001301;0.006483;0.018729;0.018728;0.03;10;54
3.07;240;1;128;2;1024;0;0;0.002244;0.011637;0.036282;0.036281;0.04;12;47
3.08;236;1;128;2;1536;0;0;0.003726;0.018373;0.058024;0.058023;0.07;17;49
3.07;236;1;128;2;2048;0;0;0.004745;0.024302;0.072103;0.072102;0.09;23;50
3.07;236;1;128;2;2560;0;0;0.005777;0.028966;0.089141;0.089140;0.11;26;49
3.06;235;1;128;2;3072;0;0;0.006603;0.038060;0.108753;0.108752;0.14;30;49
3.07;236;1;128;2;3584;0;0;0.006787;0.040875;0.124829;0.124828;0.16;36;46
3.08;236;1;128;2;4096;0;0;0.007806;0.047865;0.145013;0.145012;0.19;39;46
3.01;234;1;128;3;512;0;0;0.001072;0.002805;0.019247;0.019246;0.03;7;36
2.99;234;1;128;3;1024;0;0;0.002289;0.006400;0.036312;0.036311;0.05;11;41
3.02;235;1;128;3;1536;0;0;0.003296;0.008361;0.054057;0.054056;0.07;12;36
3.02;234;1;128;3;2048;0;0;0.003860;0.010648;0.072937;0.072936;0.10;15;33
3.04;234;1;128;3;2560;0;0;0.004940;0.012803;0.089945;0.089944;0.11;18;33
3.02;233;1;128;3;3072;0;0;0.005030;0.013772;0.105253;0.105252;0.13;21;28
3.00;235;1;128;3;3584;0;0;0.005411;0.017179;0.123949;0.123948;0.15;24;29
3.00;234;1;128;3;4096;0;0;0.006094;0.019445;0.140468;0.140466;0.17;27;28
2.99;234;1;128;4;512;0;0;0.000948;0.003622;0.016313;0.016312;0.03;6;50
3.00;233;1;128;4;1024;0;0;0.002072;0.006321;0.030510;0.030509;0.04;9;45
2.98;235;1;128;4;1536;0;0;0.002435;0.007265;0.045900;0.045899;0.06;12;33
2.99;233;1;128;4;2048;0;0;0.003253;0.010176;0.059902;0.059901;0.07;15;35
3.00;238;1;128;4;2560;0;0;0.003922;0.013547;0.074782;0.074781;0.10;18;39
3.00;234;1;128;4;3072;0;0;0.004788;0.015462;0.088014;0.088013;0.11;25;38
2.99;234;1;128;4;3584;0;0;0.005529;0.016468;0.103437;0.103436;0.13;24;33
2.99;234;1;128;4;4096;0;0;0.006244;0.019075;0.117941;0.117940;0.15;27;35
3.01;236;1;128;5;512;0;0;0.001152;0.004117;0.018908;0.018907;0.02;9;44
3.01;234;1;128;5;1024;0;0;0.001966;0.006021;0.035413;0.035412;0.05;10;35
3.01;235;1;128;5;1536;0;0;0.003199;0.010432;0.052250;0.052249;0.07;14;38
3.03;234;1;128;5;2048;0;0;0.004174;0.013179;0.067974;0.067973;0.09;17;39
3.02;234;1;128;5;2560;0;0;0.005074;0.016220;0.085940;0.085939;0.11;25;39
3.03;234;1;128;5;3072;0;0;0.005049;0.019346;0.101171;0.101171;0.13;24;33
3.01;234;1;128;5;3584;0;0;0.005761;0.023719;0.119396;0.119395;0.16;28;36
3.02;235;1;128;5;4096;0;0;0.006332;0.028787;0.138108;0.138107;0.17;31;35
2.98;234;1;128;6;512;0;0;0.000678;0.002294;0.006840;0.006839;0.02;6;60
2.98;234;1;128;6;1024;0;0;0.001433;0.003647;0.012450;0.012449;0.02;8;61
2.98;234;1;128;6;1536;0;0;0.001984;0.005212;0.018405;0.018404;0.03;11;60
2.98;233;1;128;6;2048;0;0;0.002525;0.006597;0.024024;0.024024;0.04;15;62
2.97;234;1;128;6;2560;0;0;0.002472;0.008778;0.028870;0.028870;0.05;17;62
2.98;234;1;128;6;3072;0;0;0.002960;0.009161;0.034852;0.034851;0.06;18;58
2.99;235;1;128;6;3584;0;0;0.003123;0.009096;0.040710;0.040709;0.07;21;49
2.97;235;1;128;6;4096;0;0;0.004105;0.011794;0.046658;0.046657;0.08;23;56
3.07;234;1;256;1;512;0;0;0.001010;0.010247;0.027574;0.027573;0.04;11;52
3.04;235;1;256;1;1024;0;0;0.002168;0.021352;0.056423;0.056422;0.07;19;53
3.05;234;1;256;1;1536;0;0;0.002341;0.030350;0.083333;0.083332;0.11;27;49
3.04;235;1;256;1;2048;0;0;0.003517;0.046090;0.095879;0.095878;0.13;37;62
3.05;234;1;256;1;2560;0;0;0.003515;0.049892;0.141359;0.141358;0.19;43;48
3.06;235;1;256;1;3072;0;0;0.004525;0.060181;0.192562;0.192562;0.24;51;42
3.05;234;1;256;1;3584;0;0;0.005676;0.078963;0.158363;0.158362;0.21;59;61
3.06;234;1;256;1;4096;0;0;0.006768;0.081683;0.210332;0.210331;0.26;67;50
3.00;234;1;256;2;512;0;0;0.001874;0.011182;0.035444;0.035443;0.04;12;51
3.01;233;1;256;2;1024;0;0;0.003423;0.023585;0.075391;0.075390;0.09;21;46
3.01;234;1;256;2;1536;0;0;0.004216;0.028685;0.101996;0.101995;0.12;30;40
3.00;233;1;256;2;2048;0;0;0.005845;0.040256;0.133288;0.133287;0.17;41;45
3.01;233;1;256;2;2560;0;0;0.006607;0.045331;0.166156;0.166155;0.21;48;40
3.01;235;1;256;2;3072;0;0;0.009165;0.052861;0.196824;0.196823;0.24;57;41
3.00;234;1;256;2;3584;0;0;0.010937;0.061403;0.230791;0.230790;0.28;66;41
3.02;233;1;256;2;4096;0;0;0.011982;0.067841;0.256576;0.256575;0.32;75;41
2.95;232;1;256;3;512;0;0;0.001573;0.005182;0.035451;0.035450;0.05;9;38
2.93;232;1;256;3;1024;0;0;0.003238;0.008878;0.069737;0.069736;0.09;15;32
2.96;232;1;256;3;1536;0;0;0.004017;0.011182;0.100184;0.100183;0.12;21;27
2.94;231;1;256;3;2048;0;0;0.004850;0.016269;0.134498;0.134497;0.17;27;27
2.93;232;1;256;3;2560;0;0;0.006590;0.021768;0.166641;0.166640;0.20;33;30
2.94;231;1;256;3;3072;0;0;0.008338;0.025490;0.199593;0.199592;0.24;39;29
2.94;233;1;256;3;3584;0;0;0.009033;0.029793;0.226593;0.226592;0.28;45;27
2.91;232;1;256;3;4096;0;0;0.010899;0.032247;0.261318;0.261317;0.32;51;28
2.92;231;1;256;4;512;0;0;0.001411;0.004458;0.030426;0.030425;0.04;9;37
2.92;232;1;256;4;1024;0;0;0.002953;0.009504;0.058678;0.058677;0.08;15;37
2.92;231;1;256;4;1536;0;0;0.003325;0.011956;0.087780;0.087778;0.11;21;29
2.93;231;1;256;4;2048;0;0;0.004650;0.016828;0.115511;0.115511;0.15;27;35
2.92;232;1;256;4;2560;0;0;0.005616;0.020665;0.145404;0.145403;0.19;33;32
2.93;233;1;256;4;3072;0;0;0.007749;0.026099;0.173537;0.173537;0.22;39;33
2.94;231;1;256;4;3584;0;0;0.009024;0.029283;0.201479;0.201478;0.25;45;32
2.93;231;1;256;4;4096;0;0;0.010620;0.034943;0.230492;0.230491;0.29;51;31
2.95;232;1;256;5;512;0;0;0.001704;0.006191;0.033742;0.033741;0.04;10;38
2.93;232;1;256;5;1024;0;0;0.002852;0.009628;0.066128;0.066127;0.08;17;32
2.97;233;1;256;5;1536;0;0;0.003323;0.014557;0.099256;0.099255;0.13;24;31
2.95;233;1;256;5;2048;0;0;0.005531;0.022524;0.129981;0.129980;0.16;33;34
2.95;232;1;256;5;2560;0;0;0.006293;0.028153;0.162880;0.162879;0.20;38;33
2.96;232;1;256;5;3072;0;0;0.007785;0.032149;0.191101;0.191100;0.24;45;33
2.94;233;1;256;5;3584;0;0;0.009633;0.033998;0.223905;0.223904;0.28;52;32
2.95;232;1;256;5;4096;0;0;0.011669;0.041835;0.255365;0.255364;0.31;61;32
2.94;232;1;256;6;512;0;0;0.001026;0.002988;0.012206;0.012205;0.02;10;55
2.92;232;1;256;6;1024;0;0;0.001746;0.004574;0.022706;0.022705;0.04;13;51
2.92;231;1;256;6;1536;0;0;0.002011;0.006822;0.034355;0.034354;0.06;18;51
2.95;232;1;256;6;2048;0;0;0.002828;0.009622;0.045126;0.045125;0.08;23;51
2.92;232;1;256;6;2560;0;0;0.002814;0.011546;0.055548;0.055547;0.09;28;47
2.93;232;1;256;6;3072;0;0;0.004300;0.013151;0.066777;0.066776;0.11;33;49
2.92;231;1;256;6;3584;0;0;0.004874;0.015325;0.076863;0.076862;0.12;38;46
2.91;232;1;256;6;4096;0;0;0.005961;0.018266;0.089548;0.089547;0.14;43;50
