program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       RING      malhonest      sy-rep-ring         3          0.14          17                 1600        1.63377              1.72                 56            102        ~13046        5.31464         15.7723
31       RING      malhonest      sy-rep-ring         3          0.14          17                 2000        2.34724              2.44                 56            96         ~16246        5.73464         17.0219
31       RING      malhonest      sy-rep-ring         3          0.14          17                 2400        2.49363              2.59                 58            104        ~19446        6.15464         18.2715
31       RING      malhonest      sy-rep-ring         3          0.13          17                 2800        3.04281              3.13                 56            109        ~22646        6.57464         19.5211
31       RING      malhonest      sy-rep-ring         3          0.14          17                 3200        3.21074              3.31                 56            103        ~25846        6.99464         20.7707
31       RING      malhonest      sy-rep-ring         3          0.14          17                 3600        4.3149               4.41                 58            95         ~29046        7.41464         22.0203
31       RING      malhonest      sy-rep-ring         3          0.14          17                 4000        4.46501              4.55                 56            95         ~32246        7.83464         23.2699
31       RING      malhonest      sy-rep-ring         3          0.14          17                 4400        4.44378              4.53                 57            104        ~35446        8.25464         24.5195
31       RING      malhonest      sy-rep-ring         3          0.13          17                 4800        5.92464              6.01                 57            92         ~38646        8.67464         25.7691
31       RING      malhonest      sy-rep-ring         3          0.14          17                 5200        5.35036              5.45                 57            103        ~41846        9.09464         27.0187
31       RING      malhonest      sy-rep-ring         3          0.14          17                 5600        6.44282              6.54                 57            92         ~45046        9.51464         28.2683
31       RING      malhonest      sy-rep-ring         3          0.14          17                 6000        6.57954              6.68                 57            95         ~48246        9.93464         29.5179
31       RING      malhonest      sy-rep-ring         3          0.14          17                 6400        6.37205              6.47                 57            106        ~51446        10.3546         30.7675
31       RING      malhonest      sy-rep-ring         3          0.13          17                 6800        6.63363              6.73                 57            107        ~54646        10.7746         32.0171
31       RING      malhonest      sy-rep-ring         3          0.13          17                 7200        7.55281              7.65                 58            102        ~57846        11.1946         33.2667
31       RING      malhonest      sy-rep-ring         3          0.13          17                 7600        8.31651              8.42                 58            98         ~61046        11.6146         34.5163
31       RING      malhonest      sy-rep-ring         3          0.13          17                 8000        7.82416              7.91                 58            105        ~64246        12.0346         35.7659
31       RING      malhonest      sy-rep-ring         3          0.13          17                 8400        9.37087              9.46                 59            97         ~67446        12.4546         37.0155
31       RING      malhonest      sy-rep-ring         3          0.14          17                 8800        10.5073              10.60                59            92         ~70646        12.8746         38.2651
31       RING      malhonest      sy-rep-ring         3          0.14          17                 9200        9.03023              9.12                 58            107        ~73846        13.2946         39.5147
31       RING      malhonest      sy-rep-ring         3          0.14          17                 9600        9.59893              9.69                 59            106        ~77046        13.7146         40.7643
31       RING      malhonest      sy-rep-ring         3          0.13          17                 10000       9.59261              9.68                 59            109        ~80269        14.1447         42.0468
31       RING      malhonest      sy-rep-ring         3          0.13          17                 10400       10.3075              10.40                72            99         ~83674        17.2293         51.5476
31       RING      malhonest      sy-rep-ring         3          0.14          17                 10800       11.4683              11.57                70            100        ~86882        18.479          55.2863
31       RING      malhonest      sy-rep-ring         3          0.14          17                 11200       12.3248              12.42                72            101        ~90082        18.899          56.5359
31       RING      malhonest      sy-rep-ring         3          0.13          17                 11600       11.3076              11.41                72            106        ~93282        19.319          57.7855
31       RING      malhonest      sy-rep-ring         3          0.14          17                 12000       12.6418              12.74                70            99         ~96482        19.739          59.0351
31       RING      malhonest      sy-rep-ring         3          0.13          17                 12400       13.1602              13.26                68            102        ~99682        20.159          60.2847
31       RING      malhonest      sy-rep-ring         3          0.14          17                 12800       13.5517              13.64                70            102        ~102882       20.579          61.5343
31       RING      malhonest      sy-rep-ring         3          0.14          17                 13200       13.0678              13.18                69            106        ~106082       20.999          62.7839
31       RING      malhonest      sy-rep-ring         3          0.13          17                 13600       14.0869              14.18                70            103        ~109282       21.419          64.0335
31       RING      malhonest      sy-rep-ring         3          0.14          17                 14000       14.0275              14.13                70            106        ~112482       21.839          65.2831
31       RING      malhonest      sy-rep-ring         3          0.13          17                 14400       14.3326              14.43                72            110        ~115682       22.259          66.5327
31       RING      malhonest      sy-rep-ring         3          0.14          17                 14800       15.2543              15.36                71            104        ~118882       22.679          67.7823
31       RING      malhonest      sy-rep-ring         3          0.14          17                 15200       16.8685              16.97                71            95         ~122082       23.099          69.0319
31       RING      malhonest      sy-rep-ring         3          0.13          17                 15600       19.0379              19.14                75            90         ~125282       23.519          70.2815
31       RING      malhonest      sy-rep-ring         3          0.14          17                 16000       16.3922              16.49                72            108        ~128482       23.939          71.5311
31       RING      malhonest      sy-rep-ring         3          0.13          17                 16400       15.8777              15.98                72            99         ~131682       24.359          72.7807
31       RING      malhonest      sy-rep-ring         3          0.14          17                 16800       16.988               17.09                72            107        ~134882       24.779          74.0303
31       RING      malhonest      sy-rep-ring         3          0.13          17                 17200       17.1238              17.23                73            104        ~138082       25.199          75.2799
31       RING      malhonest      sy-rep-ring         3          0.13          17                 17600       17.776               17.88                72            105        ~141282       25.619          76.5295
31       RING      malhonest      sy-rep-ring         3          0.14          17                 18000       17.3586              17.45                72            107        ~144482       26.039          77.7791
31       RING      malhonest      sy-rep-ring         3          0.14          17                 18400       17.852               17.95                72            111        ~147682       26.459          79.0287
31       RING      malhonest      sy-rep-ring         3          0.13          17                 18800       19.7267              19.83                72            102        ~150882       26.879          80.2783
31       RING      malhonest      sy-rep-ring         3          0.14          17                 19200       19.8348              19.93                73            99         ~154082       27.299          81.5279
31       RING      malhonest      sy-rep-ring         3          0.14          17                 19600       21.3426              21.45                74            99         ~157282       27.719          82.7775
31       RING      malhonest      sy-rep-ring         3          0.13          17                 20000       21.3604              21.47                72            105        ~160482       28.139          84.0271
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 10          0.564528             0.64                 42            83         ~364          8.73533         25.2924
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 400         0.902136             0.98                 44            91         ~3484         9.13781         26.4936
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 800         1.32735              1.42                 42            94         ~6684         9.55061         27.7256
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 1200        1.79959              1.89                 41            93         ~9884         9.96341         28.9576
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 1600        2.1811               2.27                 42            93         ~13084        10.3762         30.1896
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 2000        2.68444              2.76                 42            96         ~16284        10.789          31.4216
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 2400        2.88146              2.97                 42            97         ~19484        11.2018         32.6536
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 2800        3.14359              3.22                 41            102        ~22684        11.6146         33.8856
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 3200        3.78282              3.87                 42            99         ~25884        12.0274         35.1176
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 3600        3.9033               3.99                 42            104        ~29084        12.4402         36.3496
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 4000        4.33997              4.43                 42            101        ~32284        12.853          37.5816
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 4400        4.69857              4.78                 44            101        ~35484        13.2658         38.8136
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 4800        5.48355              5.56                 42            98         ~38684        13.6786         40.0456
