program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)        Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
31       FIELD     semihonest     replicated-field    3          0.17          18                 9600          1             NA            NA            NA            NA           998400        604800           NA               67203          9600        13.4917              13.58                16            100        ~67403        36.704          109.645          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 10000         1             NA            NA            NA            NA           1040000       630000           NA               70003          10000       17.0436              17.12                16            77         ~70211        38.08           114.08           NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 10400         1             NA            NA            NA            NA           1081600       655200           NA               72803          10400       13.4051              13.50                18            101        ~73021        39.936          119.315          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.18          18                 10800         1             NA            NA            NA            NA           1123200       680400           NA               75603          10800       18.4845              18.58                16            77         ~75829        41.312          123.75           NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 11200         1             NA            NA            NA            NA           1164800       705600           NA               78403          11200       14.777               14.86                16            101        ~78637        42.848          128.186          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 11600         1             NA            NA            NA            NA           1206400       730800           NA               81203          11600       14.8112              14.90                17            107        ~81445        44.384          132.621          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 12000         1             NA            NA            NA            NA           1248000       756000           NA               84003          12000       15.8021              15.90                16            102        ~84253        45.76           137.056          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 12400         1             NA            NA            NA            NA           1289600       781200           NA               86803          12400       18.2279              18.32                18            89         ~87061        47.296          141.491          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 12800         1             NA            NA            NA            NA           1331200       806400           NA               89603          12800       17.8799              17.96                16            101        ~89871        48.992          146.726          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 13200         1             NA            NA            NA            NA           1372800       831600           NA               92403          13200       16.874               16.97                16            104        ~92679        50.528          151.162          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
