program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;FIELD;semidishonest;soho;3;0.72;30;1;10;30;0.275105;35.02;117;99;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;15;30;0.184099;20.33;104;96;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;20;30;0.165056;15.26;100;97;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;25;30;0.149417;12.26;102;98;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;30;30;0.161339;10.28;102;98;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;35;30;0.145658;8.85;101;98;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;40;30;0.147431;7.78;104;98;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;45;30;0.16826;6.97;103;98;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;50;30;0.169297;6.32;100;97;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;55;30;0.170864;5.77;102;97;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;60;30;0.145168;5.32;102;98;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;65;30;0.14862;4.92;101;97;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;70;30;0.162357;4.60;101;97;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;75;30;0.163181;4.32;101;95;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;80;30;0.159339;4.07;102;96;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;85;30;0.147544;3.85;103;97;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;90;30;0.173081;3.68;103;96;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;95;30;0.171213;3.50;105;96;~3600;0.0288;0.0576
32;FIELD;semidishonest;soho;3;NA;NA;NA;100;30;0.151238;3.31;102;96;~3600;0.0288;0.0576
32;BINARY;malhonest;malicious-rep-bin;3;15.42;465;4;10;30;21.7543;21.99;35;52;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;15;30;14.3915;14.62;35;60;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;20;30;10.5131;10.75;38;79;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;25;30;8.25142;8.48;36;90;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;30;30;8.01628;8.25;37;98;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;35;30;8.33814;8.56;35;93;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;40;30;7.15356;7.38;36;108;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;45;30;7.11182;7.35;37;99;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;50;30;8.45632;8.68;37;92;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;55;30;7.6942;7.93;37;97;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;60;30;6.7697;7.00;35;110;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;65;30;7.49465;7.73;37;91;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;70;30;6.66281;6.89;35;105;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;75;30;6.75071;6.99;35;104;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;80;30;7.13636;7.36;35;103;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;85;30;8.27053;8.50;35;95;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;90;30;7.17754;7.41;37;101;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;95;30;6.84185;7.07;35;109;NA;9.36182;NA
32;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;100;30;6.84892;7.08;35;106;NA;9.36182;NA
32;BINARY;malhonest;malicious-ccd;3;15.42;465;4;10;30;82.3087;82.55;46;34;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;15;30;55.082;55.31;45;41;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;20;30;41.4034;41.64;46;52;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;25;30;32.7988;33.04;46;60;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;30;30;27.4438;27.69;46;70;NA;65.4223;NA
