nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;packetdrops(%);runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;244170;19141;30;0;4.37895;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;0.5;9.86456;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;1;14.4412;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;1.5;19.8883;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;2;26.8507;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;2.5;32.4883;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;3;42.4181;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;3.5;51.2139;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;244170;19141;30;0;3.17117;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;0.5;3.27036;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;1;5.12871;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;1.5;5.53489;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;2;8.36428;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;2.5;10.8461;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;3;16.838;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;3.5;18.9099;NA;148.705;NA
