program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)   Rx(rounds)  Rx(s)       Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             240            800              128         0.023577             0.12                 18            92         NA            0.258049        NA               0.258049  4           0.000422076  8e-06    1           0.00494721  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             240            600              128         0.0250063            0.12                 17            89         NA            0.258049        NA               0.258049  4           0.000435621  8e-06    1           0.00444766  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             240            400              128         0.0261868            0.12                 17            89         NA            0.258049        NA               0.258049  4           0.000408029  8e-06    1           0.00447467  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             240            200              128         0.0333748            0.13                 17            81         NA            0.258049        NA               0.258049  4           0.000404884  8e-06    1           0.00684706  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             240            50               128         0.0596464            0.16                 18            73         NA            0.258049        NA               0.258049  4           0.000465393  8e-06    1           0.00881968  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             320            3000             128         0.0226447            0.12                 17            88         NA            0.258049        NA               0.258049  4           0.00055132   8e-06    1           0.0045186   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             320            1000             128         0.02462              0.12                 19            92         NA            0.258049        NA               0.258049  4           0.000424848  8e-06    1           0.00530103  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             320            800              128         0.0239538            0.13                 19            90         NA            0.258049        NA               0.258049  4           0.000471669  8e-06    1           0.00429337  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             320            600              128         0.0242347            0.12                 17            82         NA            0.258049        NA               0.258049  4           0.000462483  8e-06    1           0.0042739   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             320            400              128         0.0256032            0.13                 18            87         NA            0.258049        NA               0.258049  4           0.000500261  8e-06    1           0.00494941  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             320            200              128         0.028689             0.13                 17            82         NA            0.258049        NA               0.258049  4           0.000488364  8e-06    1           0.00439847  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             320            50               128         0.0545067            0.15                 17            69         NA            0.258049        NA               0.258049  4           0.000711235  8e-06    1           0.00663109  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          7.72          194                2                  NA            NA            NA            8192          64            NA           NA            NA               8064             137            5              3000             128         0.0105401            0.14                 18            75         NA            0.016312        NA               4.8e-05   3           0.00911625   4.8e-05  3           0.00958639  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00297319  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             5              1000             128         0.0098099            0.14                 17            80         NA            0.016312        NA               4.8e-05   3           0.00843153   4.8e-05  3           0.00903563  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00216629  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             5              800              128         0.00934623           0.13                 17            80         NA            0.016312        NA               4.8e-05   3           0.00754037   4.8e-05  3           0.00940144  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00179509  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             5              600              128         0.0106388            0.14                 20            79         NA            0.016312        NA               4.8e-05   3           0.00938299   4.8e-05  3           0.00983227  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00340326  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             5              400              128         0.00956174           0.12                 16            80         NA            0.016312        NA               4.8e-05   3           0.00816705   4.8e-05  3           0.00859531  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00218663  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             5              200              128         0.0111863            0.14                 17            81         NA            0.016312        NA               4.8e-05   3           0.00889996   4.8e-05  3           0.011063    NA             NA                 NA            NA        NA            NA       0.016264     8                0.00299715  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             5              50               128         0.0108936            0.14                 16            74         NA            0.016312        NA               4.8e-05   3           0.00932944   4.8e-05  3           0.00970888  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00326263  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
