program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)   Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             3000             4096        0.492697             2.09                 290           96         NA            8.25754         NA               8.25754  4           0.062338   8e-06    1           0.126954   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          120.50        2838               22                 NA            NA            NA            131072        64            NA           NA            NA               129024           2057           50               2048        0.11737              0.96                 148           94         NA            0.260152        NA               4.8e-05  3           0.113311   4.8e-05  3           0.11615    NA             NA                 NA            NA        NA            NA       0.260104     8                0.0342432   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          234.96        5667               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           50               4096        0.230665             1.91                 292           94         NA            0.520248        NA               4.8e-05  3           0.224903   4.8e-05  3           0.229801   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0850414   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100              2048        0.13046              1.01                 148           93         NA            0.260152        NA               4.8e-05  3           0.125923   4.8e-05  3           0.130417   NA             NA                 NA            NA        NA            NA       0.260104     8                0.0413055   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100              4096        0.207198             1.85                 290           95         NA            0.520248        NA               4.8e-05  3           0.20184    4.8e-05  3           0.20654    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0560469   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             200              2048        0.105692             0.96                 148           95         NA            0.260152        NA               4.8e-05  3           0.101672   4.8e-05  3           0.104849   NA             NA                 NA            NA        NA            NA       0.260104     8                0.0232635   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             200              4096        0.190616             1.83                 290           96         NA            0.520248        NA               4.8e-05  3           0.184526   4.8e-05  3           0.189496   NA             NA                 NA            NA        NA            NA       0.5202       8                0.042628    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             300              2048        0.110041             0.96                 148           95         NA            0.260152        NA               4.8e-05  3           0.106049   4.8e-05  3           0.108831   NA             NA                 NA            NA        NA            NA       0.260104     8                0.0236377   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             300              4096        0.200051             1.85                 292           96         NA            0.520248        NA               4.8e-05  3           0.193596   4.8e-05  3           0.199884   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0489891   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             400              2048        0.126787             1.03                 148           89         NA            0.260152        NA               4.8e-05  3           0.122617   4.8e-05  3           0.126959   NA             NA                 NA            NA        NA            NA       0.260104     8                0.0327678   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
