comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.48          242                1                  1    128       1         0         2         25000            40960       0           0           0.007127     NA          0.317129          0.256343            0.256342           0.35                 325           117
0.01          3                  1                  1    128       1         0         2         25000            40960       0           1           .001311      NA          .046213           .043337             .043337            0.36                 326           601
1.50          241                1                  1    128       1         0         2         24500            40960       0           0           0.007405     NA          0.319088          0.246437            0.246436           0.34                 326           121
0.01          3                  1                  1    128       1         0         2         24500            40960       0           1           .001307      NA          .041646           .043456             .043456            0.37                 326           541
1.49          241                1                  1    128       1         0         2         24000            40960       0           0           0.007120     NA          0.290320          0.244976            0.244975           0.34                 326           113
0.01          3                  1                  1    128       1         0         2         24000            40960       0           1           .001311      NA          .045033           .044685             .044685            0.38                 326           573
1.51          242                1                  1    128       1         0         2         23500            40960       0           0           0.007267     NA          0.303429          0.250851            0.250850           0.35                 326           112
0.01          3                  1                  1    128       1         0         2         23500            40960       0           1           .001315      NA          .047248           .043994             .043994            0.38                 326           582
1.48          241                1                  1    128       1         0         2         23000            40960       0           0           0.007221     NA          0.326604          0.260883            0.260882           0.36                 326           118
0.01          3                  1                  1    128       1         0         2         23000            40960       0           1           .001310      NA          .047077           .045112             .045112            0.39                 326           582
1.50          241                1                  1    128       1         0         2         22500            40960       0           0           0.007115     NA          0.336945          0.259683            0.259683           0.36                 326           121
0.01          3                  1                  1    128       1         0         2         22500            40960       0           1           .001319      NA          .050404           .045084             .045084            0.38                 326           607
1.50          241                1                  1    128       1         0         2         22000            40960       0           0           0.007193     NA          0.323722          0.248095            0.248094           0.35                 326           120
0.01          3                  1                  1    128       1         0         2         22000            40960       0           1           .001315      NA          .045273           .044798             .044797            0.38                 326           562
1.45          241                1                  1    128       1         0         2         21500            40960       0           0           0.007120     NA          0.299217          0.246050            0.246049           0.35                 326           105
0.01          3                  1                  1    128       1         0         2         21500            40960       0           1           .001318      NA          .044424           .043251             .043251            0.38                 326           561
1.48          242                1                  1    128       1         0         2         21000            40960       0           0           0.007130     NA          0.326977          0.247375            0.247374           0.34                 325           123
0.01          3                  1                  1    128       1         0         2         21000            40960       0           1           .001316      NA          .046484           .043632             .043632            0.36                 326           611
1.50          242                1                  1    128       1         0         2         20500            40960       0           0           0.007127     NA          0.330939          0.255494            0.255493           0.35                 326           120
0.01          3                  1                  1    128       1         0         2         20500            40960       0           1           .001326      NA          .044775           .043251             .043251            0.37                 326           580
1.50          241                1                  1    128       1         0         2         20000            40960       0           0           0.007238     NA          0.330802          0.249068            0.249067           0.35                 326           115
0.01          3                  1                  1    128       1         0         2         20000            40960       0           1           .001309      NA          .046616           .044344             .044344            0.37                 326           595
1.47          240                1                  1    128       1         0         2         19500            40960       0           0           0.007116     NA          0.336986          0.253688            0.253688           0.35                 326           115
0.01          3                  1                  1    128       1         0         2         19500            40960       0           1           .001334      NA          .046534           .043636             .043635            0.38                 326           574
1.48          241                1                  1    128       1         0         2         19000            40960       0           0           0.007147     NA          0.330300          0.252101            0.252100           0.34                 326           122
0.01          3                  1                  1    128       1         0         2         19000            40960       0           1           .001313      NA          .047318           .043309             .043309            0.36                 326           604
1.49          242                1                  1    128       1         0         2         18500            40960       0           0           0.007133     NA          0.332616          0.252575            0.252574           0.35                 326           123
0.01          3                  1                  1    128       1         0         2         18500            40960       0           1           .001336      NA          .045839           .043152             .043151            0.38                 326           576
1.49          241                1                  1    128       1         0         2         18000            40960       0           0           0.007121     NA          0.339374          0.257826            0.257825           0.35                 326           123
0.01          3                  1                  1    128       1         0         2         18000            40960       0           1           .001316      NA          .047487           .043474             .043474            0.36                 326           622
1.46          241                1                  1    128       1         0         2         17500            40960       0           0           0.007303     NA          0.328161          0.247621            0.247620           0.34                 326           122
0.01          3                  1                  1    128       1         0         2         17500            40960       0           1           .001306      NA          .046877           .044415             .044415            0.37                 326           597
1.50          241                1                  1    128       1         0         2         17000            40960       0           0           0.007272     NA          0.303245          0.244004            0.244003           0.34                 329           117
0.01          3                  1                  1    128       1         0         2         17000            40960       0           1           .001310      NA          .043894           .043980             .043979            0.37                 326           562
1.48          240                1                  1    128       1         0         2         16500            40960       0           0           0.007133     NA          0.317453          0.246650            0.246650           0.34                 326           120
0.01          3                  1                  1    128       1         0         2         16500            40960       0           1           .001348      NA          .042616           .043215             .043215            0.37                 327           559
1.49          240                1                  1    128       1         0         2         16000            40960       0           0           0.007131     NA          0.328604          0.241343            0.241342           0.34                 326           125
0.01          3                  1                  1    128       1         0         2         16000            40960       0           1           .001315      NA          .043622           .043770             .043770            0.37                 326           570
1.51          246                1                  1    128       1         0         2         15500            40960       0           0           0.007118     NA          0.323003          0.249256            0.249255           0.34                 326           122
0.01          3                  1                  1    128       1         0         2         15500            40960       0           1           .001330      NA          .044292           .042605             .042605            0.36                 326           589
1.50          241                1                  1    128       1         0         2         15000            40960       0           0           0.007120     NA          0.334894          0.248164            0.248163           0.34                 326           118
