comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  1    256       1         0         1         20500            40960       0           1           .001254      NA          .099621           .064358             .064357            0.54                 642           807
1.52          246                1                  1    256       1         0         1         20000            40960       0           0           0.007425     NA          0.586544          0.332016            0.332015           0.46                 642           155
0.01          3                  1                  1    256       1         0         1         20000            40960       0           1           .001255      NA          .095634           .064252             .064252            0.53                 642           776
1.52          244                1                  1    256       1         0         1         19500            40960       0           0           0.007403     NA          0.538304          0.327574            0.327573           0.45                 642           146
0.01          3                  1                  1    256       1         0         1         19500            40960       0           1           .001257      NA          .099112           .065961             .065961            0.54                 642           797
1.52          244                1                  1    256       1         0         1         19000            40960       0           0           0.007605     NA          0.544448          0.321548            0.321547           0.44                 642           149
0.01          3                  1                  1    256       1         0         1         19000            40960       0           1           .001268      NA          .103415           .066826             .066826            0.54                 642           814
1.53          245                1                  1    256       1         0         1         18500            40960       0           0           0.007402     NA          0.614277          0.344948            0.344947           0.46                 642           155
0.01          3                  1                  1    256       1         0         1         18500            40960       0           1           .001266      NA          .095280           .064890             .064890            0.53                 642           791
1.52          245                1                  1    256       1         0         1         18000            40960       0           0           0.007555     NA          0.613780          0.326667            0.326666           0.45                 642           164
0.01          3                  1                  1    256       1         0         1         18000            40960       0           1           .001241      NA          .087700           .064964             .064964            0.54                 642           722
1.54          244                1                  1    256       1         0         1         17500            40960       0           0           0.007404     NA          0.617258          0.327309            0.327308           0.45                 642           163
0.01          3                  1                  1    256       1         0         1         17500            40960       0           1           .001265      NA          .100640           .064912             .064912            0.54                 642           806
1.53          245                1                  1    256       1         0         1         17000            40960       0           0           0.007426     NA          0.563404          0.329246            0.329245           0.45                 642           151
0.01          3                  1                  1    256       1         0         1         17000            40960       0           1           .001282      NA          .096627           .067022             .067022            0.55                 642           763
1.53          245                1                  1    256       1         0         1         16500            40960       0           0           0.007571     NA          0.634887          0.330762            0.330761           0.45                 642           166
0.01          3                  1                  1    256       1         0         1         16500            40960       0           1           .001273      NA          .097822           .071662             .071662            0.58                 642           734
1.55          244                1                  1    256       1         0         1         16000            40960       0           0           0.007694     NA          0.555503          0.341754            0.341753           0.47                 642           143
0.01          3                  1                  1    256       1         0         1         16000            40960       0           1           .001256      NA          .089183           .067514             .067514            0.55                 642           717
1.55          247                1                  1    256       1         0         1         15500            40960       0           0           0.007573     NA          0.575905          0.329429            0.329428           0.45                 642           154
0.01          3                  1                  1    256       1         0         1         15500            40960       0           1           .001274      NA          .100872           .070162             .070162            0.56                 645           777
1.54          244                1                  1    256       1         0         1         15000            40960       0           0           0.007556     NA          0.614567          0.325533            0.325532           0.45                 642           165
0.01          3                  1                  1    256       1         0         1         15000            40960       0           1           .001281      NA          .102799           .069836             .069836            0.57                 642           782
1.52          245                1                  1    256       1         0         1         14500            40960       0           0           0.007428     NA          0.602384          0.335249            0.335248           0.46                 642           157
0.01          3                  1                  1    256       1         0         1         14500            40960       0           1           .001277      NA          .099300           .070043             .070043            0.56                 642           764
1.54          244                1                  1    256       1         0         1         14000            40960       0           0           0.007582     NA          0.604632          0.331142            0.331142           0.45                 642           156
0.01          3                  1                  1    256       1         0         1         14000            40960       0           1           .001258      NA          .094094           .070864             .070864            0.57                 642           724
1.54          246                1                  1    256       1         0         1         13500            40960       0           0           0.007427     NA          0.618469          0.329907            0.329907           0.45                 642           162
0.01          3                  1                  1    256       1         0         1         13500            40960       0           1           .001269      NA          .101490           .073337             .073336            0.58                 642           754
1.54          244                1                  1    256       1         0         1         13000            40960       0           0           0.007452     NA          0.625122          0.336873            0.336872           0.46                 642           162
0.01          3                  1                  1    256       1         0         1         13000            40960       0           1           .001259      NA          .098261           .075380             .075380            0.60                 642           711
1.53          245                1                  1    256       1         0         1         12500            40960       0           0           0.007572     NA          0.640097          0.340730            0.340729           0.47                 642           162
0.01          3                  1                  1    256       1         0         1         12500            40960       0           1           .001272      NA          .096447           .077052             .077052            0.61                 642           687
1.51          244                1                  1    256       1         0         1         12000            40960       0           0           0.007467     NA          0.494937          0.323488            0.323487           0.45                 642           132
0.01          3                  1                  1    256       1         0         1         12000            40960       0           1           .001262      NA          .095147           .076385             .076385            0.61                 642           677
1.52          245                1                  1    256       1         0         1         11500            40960       0           0           0.007567     NA          0.622343          0.330924            0.330924           0.45                 642           164
0.01          3                  1                  1    256       1         0         1         11500            40960       0           1           .001276      NA          .099652           .081936             .081936            0.65                 642           656
1.54          246                1                  1    256       1         0         1         11000            40960       0           0           0.007624     NA          0.519360          0.329452            0.329452           0.46                 642           139
0.01          3                  1                  1    256       1         0         1         11000            40960       0           1           .001270      NA          .088962           .081955             .081954            0.66                 642           599
1.50          244                1                  1    256       1         0         1         10500            40960       0           0           0.007528     NA          0.632742          0.331314            0.331313           0.45                 642           166
0.01          3                  1                  1    256       1         0         1         10500            40960       0           1           .001258      NA          .093960           .084243             .084243            0.66                 642           625
1.54          245                1                  1    256       1         0         1         10000            40960       0           0           0.007793     NA          0.547992          0.336611            0.336611           0.46                 642           145
0.01          3                  1                  1    256       1         0         1         10000            40960       0           1           .001253      NA          .092918           .088868             .088868            0.68                 642           597
1.54          245                1                  1    256       1         0         1         9500             40960       0           0           0.007570     NA          0.610053          0.338549            0.338548           0.46                 642           159
0.01          3                  1                  1    256       1         0         1         9500             40960       0           1           .001257      NA          .096629           .093152             .093152            0.73                 642           582
1.49          244                1                  1    256       1         0         1         9000             40960       0           0           0.007425     NA          0.507159          0.333582            0.333581           0.46                 642           136
0.01          3                  1                  1    256       1         0         1         9000             40960       0           1           .001261      NA          .092319           .093173             .093173            0.71                 642           572
1.54          245                1                  1    256       1         0         1         8500             40960       0           0           0.007655     NA          0.550720          0.335861            0.335860           0.46                 642           146
0.01          3                  1                  1    256       1         0         1         8500             40960       0           1           .001363      NA          .096733           .096221             .096221            0.73                 642           575
1.53          244                1                  1    256       1         0         1         8000             40960       0           0           0.007574     NA          0.609984          0.343820            0.343819           0.47                 642           156
0.01          3                  1                  1    256       1         0         1         8000             40960       0           1           .001261      NA          .094813           .104164             .104164            0.78                 642           529
1.50          245                1                  1    256       1         0         2         25000            40960       0           0           0.006493     NA          0.517112          0.377436            0.377435           0.51                 644           125
0.01          3                  1                  1    256       1         0         2         25000            40960       0           1           .001702      NA          .072045           .064694             .064693            0.55                 645           612
1.53          244                1                  1    256       1         0         2         24500            40960       0           0           0.006846     NA          0.499277          0.378484            0.378482           0.51                 645           122
0.01          3                  1                  1    256       1         0         2         24500            40960       0           1           .001680      NA          .070868           .064204             .064204            0.53                 645           614
1.52          244                1                  1    256       1         0         2         24000            40960       0           0           0.006731     NA          0.508668          0.384231            0.384230           0.51                 644           124
0.01          3                  1                  1    256       1         0         2         24000            40960       0           1           .001693      NA          .071439           .067307             .067306            0.55                 646           603
1.51          244                1                  1    256       1         0         2         23500            40960       0           0           0.006769     NA          0.520189          0.385524            0.385523           0.51                 644           126
0.01          3                  1                  1    256       1         0         2         23500            40960       0           1           .001710      NA          .070387           .063831             .063831            0.54                 644           611
1.53          245                1                  1    256       1         0         2         23000            40960       0           0           0.006421     NA          0.503364          0.381859            0.381858           0.51                 644           121
0.01          3                  1                  1    256       1         0         2         23000            40960       0           1           .001716      NA          .071285           .064907             .064907            0.55                 645           603
1.53          245                1                  1    256       1         0         2         22500            40960       0           0           0.006446     NA          0.498825          0.377029            0.377028           0.50                 645           124
0.01          3                  1                  1    256       1         0         2         22500            40960       0           1           .001685      NA          .069430           .064054             .064054            0.54                 644           600
1.53          245                1                  1    256       1         0         2         22000            40960       0           0           0.006833     NA          0.479955          0.358219            0.358218           0.48                 644           126
0.01          3                  1                  1    256       1         0         2         22000            40960       0           1           .001675      NA          .072446           .065733             .065732            0.55                 645           614
1.50          244                1                  1    256       1         0         2         21500            40960       0           0           0.006502     NA          0.456952          0.374386            0.374385           0.51                 644           114
0.01          3                  1                  1    256       1         0         2         21500            40960       0           1           .001699      NA          .072205           .067872             .067872            0.55                 644           595
1.51          244                1                  1    256       1         0         2         21000            40960       0           0           0.006755     NA          0.514178          0.386118            0.386117           0.51                 645           125
0.01          3                  1                  1    256       1         0         2         21000            40960       0           1           .001705      NA          .070506           .064657             .064657            0.53                 645           618
1.49          244                1                  1    256       1         0         2         20500            40960       0           0           0.006641     NA          0.390111          0.378401            0.378400           0.51                 644           95
0.01          3                  1                  1    256       1         0         2         20500            40960       0           1           .001710      NA          .071410           .066482             .066482            0.55                 645           595
1.53          244                1                  1    256       1         0         2         20000            40960       0           0           0.006476     NA          0.511376          0.388019            0.388018           0.51                 645           123
0.01          3                  1                  1    256       1         0         2         20000            40960       0           1           .001735      NA          .069526           .066852             .066852            0.54                 645           603
1.48          245                1                  1    256       1         0         2         19500            40960       0           0           0.006569     NA          0.491472          0.372315            0.372314           0.49                 645           124
0.01          3                  1                  1    256       1         0         2         19500            40960       0           1           .001698      NA          .070988           .065539             .065539            0.54                 645           606
1.53          245                1                  1    256       1         0         2         19000            40960       0           0           0.006576     NA          0.517147          0.382991            0.382990           0.51                 645           126
0.01          3                  1                  1    256       1         0         2         19000            40960       0           1           .001723      NA          .073734           .067322             .067322            0.54                 645           620
1.52          245                1                  1    256       1         0         2         18500            40960       0           0           0.006437     NA          0.506326          0.384576            0.384575           0.52                 644           121
0.01          3                  1                  1    256       1         0         2         18500            40960       0           1           .001690      NA          .072834           .066257             .066256            0.54                 645           617
1.52          244                1                  1    256       1         0         2         18000            40960       0           0           0.007003     NA          0.505404          0.374469            0.374468           0.50                 644           120
0.01          3                  1                  1    256       1         0         2         18000            40960       0           1           .001691      NA          .073924           .068559             .068559            0.55                 645           615
1.49          243                1                  1    256       1         0         2         17500            40960       0           0           0.006597     NA          0.445855          0.368819            0.368818           0.50                 645           112
0.01          3                  1                  1    256       1         0         2         17500            40960       0           1           .001683      NA          .068478           .064908             .064908            0.53                 644           595
1.52          244                1                  1    256       1         0         2         17000            40960       0           0           0.006511     NA          0.512925          0.374216            0.374215           0.51                 644           125
0.01          3                  1                  1    256       1         0         2         17000            40960       0           1           .001682      NA          .069593           .066810             .066810            0.56                 645           575
1.51          244                1                  1    256       1         0         2         16500            40960       0           0           0.006939     NA          0.524310          0.396117            0.396116           0.53                 644           123
0.01          3                  1                  1    256       1         0         2         16500            40960       0           1           .001674      NA          .068010           .065119             .065119            0.54                 645           585
1.48          245                1                  1    256       1         0         2         16000            40960       0           0           0.006569     NA          0.484722          0.362565            0.362564           0.50                 644           122
0.01          3                  1                  1    256       1         0         2         16000            40960       0           1           .001725      NA          .067645           .064030             .064029            0.54                 645           589
1.52          245                1                  1    256       1         0         2         15500            40960       0           0           0.006635     NA          0.430010          0.368422            0.368421           0.49                 644           112
0.01          3                  1                  1    256       1         0         2         15500            40960       0           1           .001679      NA          .072624           .064910             .064910            0.54                 645           618
1.54          244                1                  1    256       1         0         2         15000            40960       0           0           0.006804     NA          0.500031          0.375581            0.375580           0.50                 644           125
0.01          3                  1                  1    256       1         0         2         15000            40960       0           1           .001710      NA          .071919           .064283             .064283            0.54                 645           619
1.50          245                1                  1    256       1         0         2         14500            40960       0           0           0.006491     NA          0.501752          0.380590            0.380589           0.51                 644           121
0.01          3                  1                  1    256       1         0         2         14500            40960       0           1           .001737      NA          .072812           .065984             .065983            0.54                 645           628
1.53          244                1                  1    256       1         0         2         14000            40960       0           0           0.006348     NA          0.490755          0.377466            0.377465           0.50                 645           122
0.01          3                  1                  1    256       1         0         2         14000            40960       0           1           .001702      NA          .069924           .068471             .068470            0.58                 644           561
1.49          244                1                  1    256       1         0         2         13500            40960       0           0           0.007058     NA          0.508030          0.388617            0.388616           0.52                 644           120
0.01          3                  1                  1    256       1         0         2         13500            40960       0           1           .001677      NA          .074060           .067778             .067778            0.55                 645           620
1.52          245                1                  1    256       1         0         2         13000            40960       0           0           0.006959     NA          0.482802          0.368738            0.368736           0.50                 644           116
0.01          3                  1                  1    256       1         0         2         13000            40960       0           1           .001690      NA          .071442           .066903             .066902            0.55                 645           599
1.51          244                1                  1    256       1         0         2         12500            40960       0           0           0.006485     NA          0.494167          0.379639            0.379638           0.52                 644           120
0.01          3                  1                  1    256       1         0         2         12500            40960       0           1           .001692      NA          .074136           .067782             .067782            0.55                 645           613
1.51          245                1                  1    256       1         0         2         12000            40960       0           0           0.006441     NA          0.497454          0.368215            0.368214           0.50                 644           118
0.01          3                  1                  1    256       1         0         2         12000            40960       0           1           .001718      NA          .069743           .068734             .068734            0.56                 645           577
1.53          244                1                  1    256       1         0         2         11500            40960       0           0           0.006885     NA          0.480866          0.365213            0.365212           0.49                 645           122
0.01          3                  1                  1    256       1         0         2         11500            40960       0           1           .001695      NA          .070728           .069496             .069496            0.58                 645           560
1.53          244                1                  1    256       1         0         2         11000            40960       0           0           0.006764     NA          0.510491          0.387186            0.387185           0.52                 644           123
0.01          3                  1                  1    256       1         0         2         11000            40960       0           1           .001659      NA          .074021           .073158             .073158            0.63                 645           538
1.53          245                1                  1    256       1         0         2         10500            40960       0           0           0.006446     NA          0.460536          0.381180            0.381178           0.51                 644           114
0.01          3                  1                  1    256       1         0         2         10500            40960       0           1           .001683      NA          .069140           .073020             .073020            0.60                 645           541
1.51          244                1                  1    256       1         0         2         10000            40960       0           0           0.006596     NA          0.503638          0.383206            0.383205           0.51                 645           124
0.01          3                  1                  1    256       1         0         2         10000            40960       0           1           .001711      NA          .075399           .073871             .073871            0.63                 645           556
1.50          244                1                  1    256       1         0         2         9500             40960       0           0           0.006696     NA          0.515689          0.389573            0.389572           0.52                 645           120
0.01          3                  1                  1    256       1         0         2         9500             40960       0           1           .001680      NA          .072360           .077943             .077942            0.65                 644           513
1.52          244                1                  1    256       1         0         2         9000             40960       0           0           0.006384     NA          0.496356          0.364694            0.364693           0.49                 644           126
0.01          3                  1                  1    256       1         0         2         9000             40960       0           1           .001686      NA          .073053           .078807             .078807            0.66                 645           506
1.48          245                1                  1    256       1         0         2         8500             40960       0           0           0.006460     NA          0.485125          0.383684            0.383683           0.51                 644           120
0.01          3                  1                  1    256       1         0         2         8500             40960       0           1           .001704      NA          .072327           .080586             .080586            0.68                 644           491
1.49          245                1                  1    256       1         0         2         8000             40960       0           0           0.006501     NA          0.520183          0.390065            0.390064           0.52                 644           118
0.01          3                  1                  1    256       1         0         2         8000             40960       0           1           .001683      NA          .074721           .085553             .085553            0.68                 645           504
1.51          244                1                  1    256       1         0         3         25000            40960       0           0           0.001803     NA          0.257022          0.402078            0.402076           0.52                 406           71
0.01          3                  1                  1    256       1         0         3         25000            40960       0           1           .000412      NA          .053491           .065620             .065620            0.53                 643           489
1.52          243                1                  1    256       1         0         3         24500            40960       0           0           0.001800     NA          0.255542          0.411572            0.411571           0.53                 406           71
0.01          3                  1                  1    256       1         0         3         24500            40960       0           1           .000414      NA          .055831           .067294             .067293            0.57                 643           477
1.50          245                1                  1    256       1         0         3         24000            40960       0           0           0.001803     NA          0.247098          0.412520            0.412519           0.53                 405           68
0.01          3                  1                  1    256       1         0         3         24000            40960       0           1           .000417      NA          .056416           .063934             .063934            0.53                 643           514
1.53          244                1                  1    256       1         0         3         23500            40960       0           0           0.001806     NA          0.254192          0.403047            0.403046           0.52                 406           71
0.01          3                  1                  1    256       1         0         3         23500            40960       0           1           .000414      NA          .055655           .065563             .065563            0.58                 643           465
1.51          245                1                  1    256       1         0         3         23000            40960       0           0           0.001803     NA          0.249652          0.392575            0.392574           0.51                 406           71
0.01          3                  1                  1    256       1         0         3         23000            40960       0           1           .000410      NA          .058495           .065992             .065991            0.54                 643           521
1.52          244                1                  1    256       1         0         3         22500            40960       0           0           0.001802     NA          0.257111          0.414775            0.414774           0.53                 406           69
0.01          3                  1                  1    256       1         0         3         22500            40960       0           1           .000417      NA          .056646           .066410             .066410            0.57                 647           479
1.52          244                1                  1    256       1         0         3         22000            40960       0           0           0.001804     NA          0.256233          0.411363            0.411362           0.53                 406           70
0.01          3                  1                  1    256       1         0         3         22000            40960       0           1           .000415      NA          .053915           .066291             .066291            0.57                 643           464
1.53          245                1                  1    256       1         0         3         21500            40960       0           0           0.001800     NA          0.259911          0.410930            0.410928           0.53                 406           71
0.01          3                  1                  1    256       1         0         3         21500            40960       0           1           .000411      NA          .056312           .067107             .067107            0.56                 643           485
1.49          243                1                  1    256       1         0         3         21000            40960       0           0           0.001804     NA          0.263253          0.404031            0.404030           0.53                 406           71
0.01          3                  1                  1    256       1         0         3         21000            40960       0           1           .000412      NA          .060287           .067588             .067587            0.57                 643           498
1.48          243                1                  1    256       1         0         3         20500            40960       0           0           0.001806     NA          0.258029          0.407277            0.407275           0.52                 406           70
0.01          3                  1                  1    256       1         0         3         20500            40960       0           1           .000412      NA          .055940           .067855             .067855            0.57                 643           482
1.52          244                1                  1    256       1         0         3         20000            40960       0           0           0.001803     NA          0.257044          0.406880            0.406879           0.52                 406           69
0.01          3                  1                  1    256       1         0         3         20000            40960       0           1           .000412      NA          .054902           .065977             .065977            0.54                 643           493
1.50          244                1                  1    256       1         0         3         19500            40960       0           0           0.001813     NA          0.259251          0.409750            0.409749           0.53                 406           70
0.01          3                  1                  1    256       1         0         3         19500            40960       0           1           .000425      NA          .055964           .066310             .066310            0.55                 643           488
1.51          245                1                  1    256       1         0         3         19000            40960       0           0           0.001802     NA          0.259070          0.410498            0.410497           0.53                 406           70
0.01          3                  1                  1    256       1         0         3         19000            40960       0           1           .000410      NA          .053193           .065327             .065327            0.55                 643           476
1.51          243                1                  1    256       1         0         3         18500            40960       0           0           0.001805     NA          0.248505          0.407886            0.407885           0.52                 406           70
0.01          3                  1                  1    256       1         0         3         18500            40960       0           1           .000410      NA          .060729           .070393             .070393            0.58                 643           500
1.52          243                1                  1    256       1         0         3         18000            40960       0           0           0.001804     NA          0.250868          0.407417            0.407416           0.52                 406           70
0.01          3                  1                  1    256       1         0         3         18000            40960       0           1           .000410      NA          .057148           .067853             .067853            0.56                 643           497
1.52          246                1                  1    256       1         0         3         17500            40960       0           0           0.001803     NA          0.259594          0.397898            0.397897           0.52                 406           72
0.01          3                  1                  1    256       1         0         3         17500            40960       0           1           .000412      NA          .054175           .064251             .064251            0.53                 643           495
1.53          243                1                  1    256       1         0         3         17000            40960       0           0           0.001805     NA          0.254526          0.411390            0.411390           0.54                 406           69
0.01          3                  1                  1    256       1         0         3         17000            40960       0           1           .000410      NA          .053365           .067893             .067893            0.56                 643           459
1.50          243                1                  1    256       1         0         3         16500            40960       0           0           0.001803     NA          0.257249          0.403611            0.403611           0.53                 406           71
0.01          3                  1                  1    256       1         0         3         16500            40960       0           1           .000410      NA          .053959           .065574             .065573            0.59                 643           446
1.50          244                1                  1    256       1         0         3         16000            40960       0           0           0.001800     NA          0.256046          0.415619            0.415618           0.54                 406           69
0.01          3                  1                  1    256       1         0         3         16000            40960       0           1           .000425      NA          .057360           .067153             .067153            0.56                 643           494
1.50          245                1                  1    256       1         0         3         15500            40960       0           0           0.001804     NA          0.257905          0.397537            0.397535           0.51                 406           73
0.01          3                  1                  1    256       1         0         3         15500            40960       0           1           .000413      NA          .056434           .067062             .067062            0.54                 643           496
1.52          245                1                  1    256       1         0         3         15000            40960       0           0           0.001870     NA          0.254045          0.399936            0.399934           0.52                 407           72
0.01          3                  1                  1    256       1         0         3         15000            40960       0           1           .000414      NA          .055704           .066391             .066391            0.53                 643           500
1.53          244                1                  1    256       1         0         3         14500            40960       0           0           0.001802     NA          0.253633          0.394243            0.394242           0.51                 405           72
0.01          3                  1                  1    256       1         0         3         14500            40960       0           1           .000411      NA          .056198           .067358             .067358            0.55                 643           489
1.52          244                1                  1    256       1         0         3         14000            40960       0           0           0.001803     NA          0.250367          0.406260            0.406259           0.52                 406           64
0.01          3                  1                  1    256       1         0         3         14000            40960       0           1           .000411      NA          .057217           .067336             .067336            0.56                 643           490
