program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 15               30          0.111777             4.24                 47            98         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 20               30          0.0680712            3.21                 48            98         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 25               30          0.0875071            2.60                 47            97         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 30               30          0.0783799            2.20                 49            96         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 35               30          0.0773997            1.92                 48            96         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 40               30          0.0773046            1.70                 47            96         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 45               30          0.0566398            1.50                 48            96         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 50               30          0.115152             1.45                 47            93         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 55               30          0.102912             1.31                 50            92         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 60               30          0.0980422            1.20                 47            93         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 65               30          0.178403             1.22                 47            88         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 70               30          0.128176             1.12                 47            89         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 75               30          0.13553              1.05                 47            89         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 80               30          0.121986             0.99                 48            90         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 85               30          0.131                0.96                 48            88         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 90               30          0.108218             0.90                 47            90         ~3600         0.0144          0.0288
