nodes;program;c.domain;adv.model;protocol;partysize;compiletime(s);input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;90.98;42;0.610166;1.26;257;120;NA;25.3337;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;108.96;46;0.5811;1.33;265;113;NA;26.0434;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;127.84;50;0.642592;1.56;283;114;NA;26.8176;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;150.61;54;0.667364;1.75;293;108;NA;27.6563;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;173.13;58;0.713441;1.88;306;110;NA;28.5595;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;197.42;62;0.685369;2.03;321;108;NA;29.5273;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;222.33;66;0.726633;2.20;343;105;NA;30.5595;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;250.31;70;0.808779;2.54;369;105;NA;31.6563;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;277.83;74;0.778516;2.68;386;103;NA;32.8176;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;310.81;78;0.847116;2.97;409;101;NA;34.0434;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;339.38;82;0.859869;3.19;424;101;NA;35.3337;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;381.64;86;0.906965;3.36;449;102;NA;36.6885;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;412.91;90;1.01045;3.80;473;98;NA;38.1078;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;449.40;94;1.03024;3.98;507;99;NA;39.5916;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;485.25;98;1.04572;4.34;565;100;NA;41.14;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;515.56;100;1.06146;4.46;566;100;NA;41.9384;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;5.42;10;0.0219384;0.07;17;86;NA;0.20161;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;10.28;14;0.0328768;0.11;19;91;NA;0.39515;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;16.79;18;0.037095;0.17;28;94;NA;0.653202;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;24.60;22;0.0551464;0.24;34;89;NA;0.975766;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;34.55;26;0.0820707;0.32;41;93;NA;1.36284;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;46.24;30;0.109958;0.43;54;90;NA;1.81443;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;58.34;34;0.131502;0.54;76;91;NA;2.33053;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;73.91;38;0.173936;0.69;78;91;NA;2.91114;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;90.98;42;0.21389;0.81;93;90;NA;3.55627;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;108.96;46;0.263806;0.96;108;88;NA;4.2659;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;127.84;50;0.295012;1.16;146;90;NA;5.04005;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;150.61;54;0.350849;1.36;149;90;NA;5.87871;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;173.13;58;0.415921;1.52;165;90;NA;6.78188;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;197.42;62;0.438464;1.69;192;92;NA;7.74957;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;222.33;66;0.488221;1.89;213;91;NA;8.78176;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;250.31;70;0.529184;2.19;286;94;NA;9.87847;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;277.83;74;0.597557;2.41;284;94;NA;11.0397;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;310.81;78;0.654044;2.65;300;94;NA;12.2654;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;339.38;82;0.73586;3.00;321;94;NA;13.5557;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;381.64;86;0.796225;3.18;351;94;NA;14.9104;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;412.91;90;0.844197;3.43;384;95;NA;16.3297;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;449.40;94;0.933994;3.74;418;95;NA;17.8135;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;485.25;98;0.974989;4.21;565;95;NA;19.3618;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yao;2;515.56;100;1.00396;4.31;567;96;NA;20.1601;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;5.42;10;0.00628332;0.07;15;86;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;10.28;14;0.00979071;0.12;21;87;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;16.79;18;0.0191312;0.17;25;94;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;24.60;22;0.0419517;0.24;33;91;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;34.55;26;0.0625409;0.33;43;93;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;46.24;30;0.100813;0.43;50;94;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;58.34;34;0.127978;0.55;76;93;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;73.91;38;0.162872;0.68;76;91;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;90.98;42;0.207006;0.82;91;93;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;108.96;46;0.253296;0.97;108;93;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;127.84;50;0.296948;1.17;146;95;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;150.61;54;0.355246;1.35;148;93;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;173.13;58;0.401083;1.52;165;94;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;197.42;62;0.433119;1.70;189;93;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;222.33;66;0.465709;1.90;212;92;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;250.31;70;0.567158;2.27;286;91;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;277.83;74;0.578313;2.42;284;91;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;310.81;78;0.641421;2.65;297;93;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;339.38;82;0.719265;2.91;319;92;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;381.64;86;0.789238;3.22;351;91;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;412.91;90;0.854367;3.44;383;92;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;449.40;94;0.91118;3.73;416;93;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;485.25;98;0.998937;4.19;565;92;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;yaoO;2;515.56;100;1.03406;4.35;566;92;NA;0;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;5.42;10;0.0453135;0.14;22;71;NA;0.931336;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;10.28;14;0.0490569;0.17;24;78;NA;1.02839;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;16.79;18;0.0507329;0.22;30;83;NA;1.1577;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;24.60;22;0.0591646;0.29;36;87;NA;1.31927;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;34.55;26;0.063649;0.35;42;88;NA;1.5131;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;46.24;30;0.0742019;0.42;49;91;NA;1.73918;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;58.34;34;0.0893687;0.54;75;93;NA;1.99751;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;73.91;38;0.0936596;0.63;76;92;NA;2.2881;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;90.98;42;0.12014;0.78;83;93;NA;2.61095;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;108.96;46;0.126112;0.88;101;95;NA;2.96606;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;127.84;50;0.133583;1.03;146;96;NA;3.35342;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;150.61;54;0.138524;1.16;146;96;NA;3.77303;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;173.13;58;0.167892;1.32;148;95;NA;4.2249;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;197.42;62;0.199593;1.53;168;94;NA;4.70903;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;222.33;66;0.213835;1.68;198;96;NA;5.22542;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;250.31;70;0.216562;1.91;286;97;NA;5.77406;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;277.83;74;0.228688;2.09;284;97;NA;6.35495;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;310.81;78;0.292122;2.42;286;96;NA;6.9681;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;339.38;82;0.281525;2.56;283;96;NA;7.61351;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;381.64;86;0.316339;2.85;306;97;NA;8.29118;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;412.91;90;0.318918;2.97;337;98;NA;9.0011;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;449.40;94;0.321506;3.19;372;97;NA;9.74327;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;485.25;98;0.34545;3.60;565;98;NA;10.5177;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;malhonest;malicious-rep-bin;3;515.56;100;0.374625;3.77;566;97;NA;10.917;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;5.42;10;0.00602583;0.10;12;61;NA;0.007068;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;10.28;14;0.00835834;0.13;18;80;NA;0.013404;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;16.79;18;0.00972472;0.17;25;84;NA;0.021756;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;24.60;22;0.0134097;0.23;26;84;NA;0.032124;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;34.55;26;0.0200578;0.31;43;86;NA;0.044508;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;46.24;30;0.022478;0.38;44;92;NA;0.058908;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;58.34;34;0.0322612;0.49;76;90;NA;0.075324;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;73.91;38;0.0303213;0.58;76;95;NA;0.093756;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;90.98;42;0.0405456;0.68;75;94;NA;0.114204;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;108.96;46;0.0467102;0.79;87;96;NA;0.136668;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;127.84;50;0.0493648;0.95;147;96;NA;0.161148;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;150.61;54;0.0561735;1.08;148;97;NA;0.187644;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;173.13;58;0.066639;1.22;144;97;NA;0.216156;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;197.42;62;0.0784755;1.39;147;97;NA;0.246684;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;222.33;66;0.081086;1.54;164;97;NA;0.279228;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;250.31;70;0.100864;1.81;286;97;NA;0.313788;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;277.83;74;0.102641;1.98;284;97;NA;0.350364;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;310.81;78;0.108684;2.17;286;98;NA;0.388956;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;339.38;82;0.116939;2.37;282;98;NA;0.429564;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;381.64;86;0.127096;2.58;284;98;NA;0.472188;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;412.91;90;0.136399;2.82;293;98;NA;0.516828;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;449.40;94;0.178144;3.15;324;96;NA;0.563484;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;485.25;98;0.154627;3.43;565;98;NA;0.612156;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semihonest;replicated-bin;3;515.56;100;0.167582;3.55;566;98;NA;0.637248;NA
