nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;latencies(ms);bandwidths(Mbs);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;60;30;43.8785;NA;~59505;176.519;515.891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;50;30;48.1252;NA;~59505;176.52;515.891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;40;30;54.1554;NA;~59505;176.519;515.892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;30;30;64.2133;NA;~59505;176.519;515.891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;20;30;84.5718;NA;~59505;176.519;515.892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;10;30;147.574;NA;~59505;176.52;515.892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;30;30;30;NA;NA;NA;190320;117120;NA;14671;0;100;30;2.66855;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;90;30;2.68411;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;80;30;2.69031;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;70;30;2.79925;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;60;30;2.88106;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;50;30;2.97873;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;40;30;3.16448;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;30;30;3.44972;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;20;30;4.12382;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;10;30;7.43853;NA;~14711;7.18416;21.7125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;30;30;30;NA;NA;NA;190320;117120;NA;14671;0;100;30;4.00701;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;90;30;4.07529;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;80;30;4.22666;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;70;30;4.4392;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;60;30;4.56554;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;50;30;4.91446;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;40;30;5.40982;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;30;30;6.27773;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;20;30;8.01229;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;10;30;14.2427;NA;~14873;17.3375;52.1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
