comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  protocol  input_size  preprocess  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.99          234                1                  128       4         2304        0           0.066719s            0.09                 17            40
3.05          235                1                  128       4         2304        1           0.034217s            0.11                 19            36
3.01          233                1                  128       4         2432        0           0.069654s            0.09                 17            42
3.04          235                1                  128       4         2432        1           0.035867s            0.11                 20            36
2.97          235                1                  128       4         2560        0           0.072923s            0.09                 18            38
3.05          235                1                  128       4         2560        1           0.033409s            0.10                 21            31
2.99          234                1                  128       4         2688        0           0.076933s            0.10                 21            35
3.05          235                1                  128       4         2688        1           0.035686s            0.11                 22            38
2.98          235                1                  128       4         2816        0           0.080876s            0.10                 22            38
3.05          234                1                  128       4         2816        1           0.041767s            0.13                 23            36
3.00          236                1                  128       4         2944        0           0.084358s            0.10                 21            33
3.05          234                1                  128       4         2944        1           0.039195s            0.12                 23            33
2.98          234                1                  128       4         3072        0           0.087773s            0.11                 21            38
3.05          235                1                  128       4         3072        1           0.040482s            0.13                 24            35
3.01          235                1                  128       4         3200        0           0.091060s            0.12                 22            38
3.05          234                1                  128       4         3200        1           0.041770s            0.13                 25            32
2.98          234                1                  128       4         3328        0           0.093324s            1.61                 23            3
3.05          235                1                  128       4         3328        1           0.045766s            0.14                 26            35
2.99          234                1                  128       4         3456        0           0.099867s            0.13                 23            32
3.04          236                1                  128       4         3456        1           0.046077s            0.15                 27            33
2.99          234                1                  128       4         3584        0           0.101952s            0.13                 24            36
3.05          234                1                  128       4         3584        1           0.049249s            0.15                 28            35
2.99          235                1                  128       4         3712        0           0.106022s            0.14                 27            37
3.04          235                1                  128       4         3712        1           0.048661s            0.16                 29            34
3.00          235                1                  128       4         3840        0           0.108898s            0.14                 26            37
3.06          234                1                  128       4         3840        1           0.052524s            0.16                 29            34
2.97          239                1                  128       4         3968        0           0.112115s            0.15                 27            35
3.06          235                1                  128       4         3968        1           0.051580s            0.16                 30            36
2.98          235                1                  128       4         4096        0           0.117065s            0.15                 29            37
3.06          235                1                  128       4         4096        1           0.053784s            0.18                 31            32
2.92          232                1                  256       4         128         0           0.008330s            0.01                 7             53
2.98          233                1                  256       4         128         1           0.004854s            0.02                 7             52
2.93          232                1                  256       4         256         0           0.015789s            0.02                 6             46
2.99          233                1                  256       4         256         1           0.007794s            0.02                 7             50
2.92          231                1                  256       4         384         0           0.022557s            0.03                 10            47
2.99          234                1                  256       4         384         1           0.010836s            0.03                 9             43
2.93          232                1                  256       4         512         0           0.029643s            0.04                 11            44
2.98          233                1                  256       4         512         1           0.013747s            0.04                 11            42
2.91          232                1                  256       4         640         0           0.037045s            0.05                 11            37
2.99          233                1                  256       4         640         1           0.017292s            0.06                 12            38
2.94          233                1                  256       4         768         0           0.043979s            0.06                 12            39
2.97          233                1                  256       4         768         1           0.019273s            0.07                 14            36
2.92          233                1                  256       4         896         0           0.051063s            0.07                 14            38
3.00          233                1                  256       4         896         1           0.022747s            0.07                 16            30
2.92          231                1                  256       4         1024        0           0.057823s            0.08                 15            35
2.98          232                1                  256       4         1024        1           0.027282s            0.09                 17            37
2.92          231                1                  256       4         1152        0           0.065548s            0.08                 17            36
2.98          232                1                  256       4         1152        1           0.029800s            0.09                 19            36
2.91          232                1                  256       4         1280        0           0.071714s            0.09                 18            30
2.98          233                1                  256       4         1280        1           0.032090s            0.11                 21            31
2.92          236                1                  256       4         1408        0           0.078580s            0.10                 20            36
2.99          234                1                  256       4         1408        1           0.034484s            0.11                 22            35
2.94          232                1                  256       4         1536        0           0.086259s            0.11                 21            30
2.99          232                1                  256       4         1536        1           1.307886s            1.39                 24            3
2.92          232                1                  256       4         1664        0           0.093083s            0.12                 25            35
2.99          233                1                  256       4         1664        1           0.040317s            0.13                 26            35
2.92          233                1                  256       4         1792        0           0.100290s            0.12                 26            30
3.00          233                1                  256       4         1792        1           0.050803s            0.15                 28            33
2.92          231                1                  256       4         1920        0           0.107073s            0.14                 27            35
3.00          233                1                  256       4         1920        1           0.047699s            0.15                 29            34
2.91          232                1                  256       4         2048        0           0.112589s            0.14                 27            30
2.97          233                1                  256       4         2048        1           0.050935s            0.15                 31            29
2.92          231                1                  256       4         2176        0           0.121065s            0.15                 30            34
2.99          232                1                  256       4         2176        1           0.053474s            0.17                 33            33
2.93          231                1                  256       4         2304        0           0.128655s            0.16                 30            34
2.98          233                1                  256       4         2304        1           0.055196s            0.18                 35            32
2.93          232                1                  256       4         2432        0           0.135086s            0.17                 33            34
3.00          232                1                  256       4         2432        1           0.058445s            0.19                 37            32
2.95          233                1                  256       4         2560        0           0.142312s            0.18                 33            30
2.99          232                1                  256       4         2560        1           0.063071s            0.20                 38            33
2.92          233                1                  256       4         2688        0           0.149490s            0.19                 37            33
2.99          233                1                  256       4         2688        1           0.067715s            0.21                 40            32
2.92          233                1                  256       4         2816        0           0.156850s            0.20                 36            33
2.98          234                1                  256       4         2816        1           0.068320s            0.22                 42            33
2.94          232                1                  256       4         2944        0           0.164469s            0.21                 38            33
2.99          233                1                  256       4         2944        1           0.069054s            0.23                 43            33
2.92          231                1                  256       4         3072        0           0.171608s            0.21                 39            30
2.99          234                1                  256       4         3072        1           0.072815s            0.23                 45            30
2.93          233                1                  256       4         3200        0           0.180152s            0.22                 41            30
2.99          233                1                  256       4         3200        1           0.076715s            0.24                 47            31
2.92          233                1                  256       4         3328        0           0.186074s            0.22                 44            31
2.98          232                1                  256       4         3328        1           0.079410s            0.26                 49            31
2.92          233                1                  256       4         3456        0           0.193374s            0.25                 44            33
2.99          234                1                  256       4         3456        1           0.081084s            0.27                 51            32
2.93          232                1                  256       4         3584        0           0.199610s            0.26                 45            33
2.98          234                1                  256       4         3584        1           0.087985s            0.27                 52            30
2.92          232                1                  256       4         3712        0           0.206860s            0.26                 47            30
2.99          232                1                  256       4         3712        1           0.086681s            0.29                 54            33
2.93          232                1                  256       4         3840        0           0.213313s            0.27                 48            32
2.99          233                1                  256       4         3840        1           0.092995s            0.30                 56            31
2.91          232                1                  256       4         3968        0           0.221467s            0.27                 50            30
2.97          233                1                  256       4         3968        1           0.095581s            0.32                 57            30
2.92          232                1                  256       4         4096        0           0.228241s            0.28                 51            32
2.99          233                1                  256       4         4096        1           0.098275s            0.31                 59            30
