comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.86;231;1;8;4;2944;0;0.010337;0.01;4;73
2.94;232;1;8;4;2944;1;0.005921;0.02;6;69
2.86;231;1;8;4;3072;0;0.010279;0.01;4;76
2.93;231;1;8;4;3072;1;0.006322;0.02;6;57
2.87;231;1;8;4;3200;0;0.010909;0.02;6;70
2.93;232;1;8;4;3200;1;0.006659;0.02;6;69
2.90;230;1;8;4;3328;0;0.011103;0.02;5;44
2.92;231;1;8;4;3328;1;0.006293;0.02;5;57
2.87;230;1;8;4;3456;0;0.012068;0.02;8;75
2.93;231;1;8;4;3456;1;0.005967;0.02;6;66
2.87;231;1;8;4;3584;0;0.010738;0.02;6;65
2.93;232;1;8;4;3584;1;0.006776;0.02;5;66
2.86;231;1;8;4;3712;0;0.011776;0.02;5;56
2.96;232;1;8;4;3712;1;0.007356;0.02;6;52
2.89;231;1;8;4;3840;0;0.012682;0.02;5;66
2.93;231;1;8;4;3840;1;0.007784;0.02;5;62
2.86;231;1;8;4;3968;0;0.012848;0.02;5;57
2.93;231;1;8;4;3968;1;0.007571;0.02;7;67
2.86;230;1;8;4;4096;0;0.014051;0.02;5;67
2.93;232;1;8;4;4096;1;0.007473;0.02;5;66
2.97;232;1;64;4;128;0;0.003276;0.00;4;71
3.02;232;1;64;4;128;1;0.002401;0.00;4;71
2.96;231;1;64;4;256;0;0.005320;0.01;6;57
3.03;233;1;64;4;256;1;0.003515;0.01;6;75
2.97;231;1;64;4;384;0;0.007294;0.01;4;57
3.04;232;1;64;4;384;1;0.003926;0.02;6;57
2.97;230;1;64;4;512;0;0.009449;0.01;5;50
2.98;231;1;64;4;512;1;0.005107;0.01;7;56
3.02;231;1;64;4;640;0;0.010500;0.01;7;55
3.02;233;1;64;4;640;1;0.005946;0.02;7;44
2.97;231;1;64;4;768;0;0.013037;0.02;6;45
3.02;233;1;64;4;768;1;0.006330;0.02;6;52
2.98;230;1;64;4;896;0;0.014358;0.02;6;50
3.03;232;1;64;4;896;1;0.007650;0.02;6;50
2.99;231;1;64;4;1024;0;0.016368;0.03;6;45
3.02;235;1;64;4;1024;1;0.008761;0.03;7;45
2.97;231;1;64;4;1152;0;0.018318;0.02;7;48
3.03;232;1;64;4;1152;1;0.009791;0.03;7;48
2.96;230;1;64;4;1280;0;0.019746;0.02;7;51
3.03;233;1;64;4;1280;1;0.010237;0.03;8;52
2.97;230;1;64;4;1408;0;0.021276;0.03;7;41
3.05;231;1;64;4;1408;1;0.012056;0.04;8;46
2.97;231;1;64;4;1536;0;0.023049;0.03;10;51
3.02;234;1;64;4;1536;1;0.011510;0.04;9;47
2.97;231;1;64;4;1664;0;0.024944;0.03;8;41
3.03;232;1;64;4;1664;1;0.011641;0.04;10;45
2.96;231;1;64;4;1792;0;0.026881;0.04;9;47
3.02;231;1;64;4;1792;1;0.013027;0.04;9;37
2.97;232;1;64;4;1920;0;0.028635;0.04;9;45
3.03;232;1;64;4;1920;1;0.013258;0.04;10;48
2.96;231;1;64;4;2048;0;0.031120;0.04;11;47
3.02;232;1;64;4;2048;1;0.016003;0.05;10;38
2.99;231;1;64;4;2176;0;0.032771;0.04;10;45
3.02;231;1;64;4;2176;1;0.016060;0.05;11;37
2.98;230;1;64;4;2304;0;0.034441;0.05;12;47
3.02;232;1;64;4;2304;1;0.020873;0.06;11;41
2.97;231;1;64;4;2432;0;0.036230;0.05;10;38
3.04;233;1;64;4;2432;1;0.018764;0.06;12;43
2.97;232;1;64;4;2560;0;0.038541;0.06;11;43
3.02;233;1;64;4;2560;1;0.017968;0.06;12;39
2.97;231;1;64;4;2688;0;0.039688;0.05;11;44
3.04;233;1;64;4;2688;1;0.019527;0.06;12;39
2.99;230;1;64;4;2816;0;0.041404;0.05;13;47
3.03;231;1;64;4;2816;1;0.019859;0.06;13;37
2.96;231;1;64;4;2944;0;0.042979;0.06;14;45
3.03;232;1;64;4;2944;1;0.020428;0.07;13;43
2.98;230;1;64;4;3072;0;0.044832;0.06;12;47
3.03;231;1;64;4;3072;1;0.022717;0.07;14;39
2.96;231;1;64;4;3200;0;0.047015;0.06;15;45
3.04;232;1;64;4;3200;1;0.021934;0.07;14;40
2.97;230;1;64;4;3328;0;0.048489;0.07;13;48
3.03;233;1;64;4;3328;1;0.024648;0.07;15;37
2.97;231;1;64;4;3456;0;0.050198;0.07;13;45
3.04;232;1;64;4;3456;1;0.024400;0.08;15;41
2.99;230;1;64;4;3584;0;0.052169;0.07;16;47
3.04;232;1;64;4;3584;1;0.026474;0.09;16;38
2.97;231;1;64;4;3712;0;0.054509;0.08;14;37
3.02;231;1;64;4;3712;1;0.027128;0.09;16;42
2.97;231;1;64;4;3840;0;0.055689;0.07;14;44
3.03;232;1;64;4;3840;1;0.025627;0.08;16;42
2.96;230;1;64;4;3968;0;0.057668;0.08;15;45
3.02;231;1;64;4;3968;1;0.027147;0.09;17;37
2.98;232;1;64;4;4096;0;0.060067;0.08;15;44
3.02;232;1;64;4;4096;1;0.027796;0.09;17;41
2.98;234;1;128;4;128;0;0.004961;0.02;4;55
3.04;235;1;128;4;128;1;0.003286;0.01;4;63
2.98;235;1;128;4;256;0;0.009020;0.01;5;50
3.04;236;1;128;4;256;1;0.005624;0.02;5;42
2.98;234;1;128;4;384;0;0.012400;0.01;7;50
3.05;235;1;128;4;384;1;0.006700;0.02;6;40
2.99;235;1;128;4;512;0;0.015149;0.02;8;50
3.05;236;1;128;4;512;1;0.008634;0.03;8;47
2.99;233;1;128;4;640;0;0.018824;0.02;7;40
3.05;235;1;128;4;640;1;0.011095;0.03;9;47
3.01;233;1;128;4;768;0;0.022640;0.03;10;47
3.05;235;1;128;4;768;1;0.012028;0.03;10;41
2.98;233;1;128;4;896;0;0.026472;0.03;11;43
3.05;236;1;128;4;896;1;0.013323;0.04;10;42
2.97;233;1;128;4;1024;0;0.030041;0.03;9;38
3.05;236;1;128;4;1024;1;0.014775;0.05;10;42
2.98;234;1;128;4;1152;0;0.034027;0.05;10;39
3.04;235;1;128;4;1152;1;0.016333;0.06;11;38
2.99;234;1;128;4;1280;0;0.037420;0.06;12;40
3.04;234;1;128;4;1280;1;0.017308;0.05;13;36
2.99;237;1;128;4;1408;0;0.041269;0.05;12;37
3.04;236;1;128;4;1408;1;0.021494;0.07;13;37
2.97;235;1;128;4;1536;0;0.044159;0.06;14;41
3.03;235;1;128;4;1536;1;0.022551;0.08;14;37
2.99;234;1;128;4;1664;0;0.047904;0.06;13;42
3.08;235;1;128;4;1664;1;0.022379;0.07;15;39
2.99;234;1;128;4;1792;0;0.051833;0.07;14;43
3.04;235;1;128;4;1792;1;0.027238;0.08;16;38
2.98;234;1;128;4;1920;0;0.055071;0.08;16;41
3.05;236;1;128;4;1920;1;0.026597;0.08;16;38
2.99;234;1;128;4;2048;0;0.059384;0.07;15;34
3.07;234;1;128;4;2048;1;0.028085;0.09;17;38
2.98;233;1;128;4;2176;0;0.062625;0.08;16;40
3.07;235;1;128;4;2176;1;0.028805;0.09;18;32
2.99;234;1;128;4;2304;0;0.066719;0.09;17;40
3.05;235;1;128;4;2304;1;0.034217;0.11;19;36
3.01;233;1;128;4;2432;0;0.069654;0.09;17;42
3.04;235;1;128;4;2432;1;0.035867;0.11;20;36
2.97;235;1;128;4;2560;0;0.072923;0.09;18;38
3.05;235;1;128;4;2560;1;0.033409;0.10;21;31
2.99;234;1;128;4;2688;0;0.076933;0.10;21;35
3.05;235;1;128;4;2688;1;0.035686;0.11;22;38
2.98;235;1;128;4;2816;0;0.080876;0.10;22;38
3.05;234;1;128;4;2816;1;0.041767;0.13;23;36
3.00;236;1;128;4;2944;0;0.084358;0.10;21;33
3.05;234;1;128;4;2944;1;0.039195;0.12;23;33
2.98;234;1;128;4;3072;0;0.087773;0.11;21;38
3.05;235;1;128;4;3072;1;0.040482;0.13;24;35
3.01;235;1;128;4;3200;0;0.091060;0.12;22;38
3.05;234;1;128;4;3200;1;0.041770;0.13;25;32
2.98;234;1;128;4;3328;0;0.093324;1.61;23;3
3.05;235;1;128;4;3328;1;0.045766;0.14;26;35
2.99;234;1;128;4;3456;0;0.099867;0.13;23;32
3.04;236;1;128;4;3456;1;0.046077;0.15;27;33
2.99;234;1;128;4;3584;0;0.101952;0.13;24;36
3.05;234;1;128;4;3584;1;0.049249;0.15;28;35
2.99;235;1;128;4;3712;0;0.106022;0.14;27;37
3.04;235;1;128;4;3712;1;0.048661;0.16;29;34
3.00;235;1;128;4;3840;0;0.108898;0.14;26;37
3.06;234;1;128;4;3840;1;0.052524;0.16;29;34
2.97;239;1;128;4;3968;0;0.112115;0.15;27;35
3.06;235;1;128;4;3968;1;0.051580;0.16;30;36
2.98;235;1;128;4;4096;0;0.117065;0.15;29;37
3.06;235;1;128;4;4096;1;0.053784;0.18;31;32
2.92;232;1;256;4;128;0;0.008330;0.01;7;53
2.98;233;1;256;4;128;1;0.004854;0.02;7;52
2.93;232;1;256;4;256;0;0.015789;0.02;6;46
2.99;233;1;256;4;256;1;0.007794;0.02;7;50
2.92;231;1;256;4;384;0;0.022557;0.03;10;47
2.99;234;1;256;4;384;1;0.010836;0.03;9;43
2.93;232;1;256;4;512;0;0.029643;0.04;11;44
2.98;233;1;256;4;512;1;0.013747;0.04;11;42
2.91;232;1;256;4;640;0;0.037045;0.05;11;37
2.99;233;1;256;4;640;1;0.017292;0.06;12;38
2.94;233;1;256;4;768;0;0.043979;0.06;12;39
2.97;233;1;256;4;768;1;0.019273;0.07;14;36
2.92;233;1;256;4;896;0;0.051063;0.07;14;38
3.00;233;1;256;4;896;1;0.022747;0.07;16;30
2.92;231;1;256;4;1024;0;0.057823;0.08;15;35
2.98;232;1;256;4;1024;1;0.027282;0.09;17;37
2.92;231;1;256;4;1152;0;0.065548;0.08;17;36
2.98;232;1;256;4;1152;1;0.029800;0.09;19;36
2.91;232;1;256;4;1280;0;0.071714;0.09;18;30
2.98;233;1;256;4;1280;1;0.032090;0.11;21;31
2.92;236;1;256;4;1408;0;0.078580;0.10;20;36
2.99;234;1;256;4;1408;1;0.034484;0.11;22;35
2.94;232;1;256;4;1536;0;0.086259;0.11;21;30
2.99;232;1;256;4;1536;1;1.307886;1.39;24;3
2.92;232;1;256;4;1664;0;0.093083;0.12;25;35
2.99;233;1;256;4;1664;1;0.040317;0.13;26;35
2.92;233;1;256;4;1792;0;0.100290;0.12;26;30
3.00;233;1;256;4;1792;1;0.050803;0.15;28;33
2.92;231;1;256;4;1920;0;0.107073;0.14;27;35
3.00;233;1;256;4;1920;1;0.047699;0.15;29;34
2.91;232;1;256;4;2048;0;0.112589;0.14;27;30
2.97;233;1;256;4;2048;1;0.050935;0.15;31;29
2.92;231;1;256;4;2176;0;0.121065;0.15;30;34
2.99;232;1;256;4;2176;1;0.053474;0.17;33;33
2.93;231;1;256;4;2304;0;0.128655;0.16;30;34
2.98;233;1;256;4;2304;1;0.055196;0.18;35;32
2.93;232;1;256;4;2432;0;0.135086;0.17;33;34
3.00;232;1;256;4;2432;1;0.058445;0.19;37;32
2.95;233;1;256;4;2560;0;0.142312;0.18;33;30
2.99;232;1;256;4;2560;1;0.063071;0.20;38;33
2.92;233;1;256;4;2688;0;0.149490;0.19;37;33
2.99;233;1;256;4;2688;1;0.067715;0.21;40;32
2.92;233;1;256;4;2816;0;0.156850;0.20;36;33
2.98;234;1;256;4;2816;1;0.068320;0.22;42;33
2.94;232;1;256;4;2944;0;0.164469;0.21;38;33
2.99;233;1;256;4;2944;1;0.069054;0.23;43;33
2.92;231;1;256;4;3072;0;0.171608;0.21;39;30
2.99;234;1;256;4;3072;1;0.072815;0.23;45;30
2.93;233;1;256;4;3200;0;0.180152;0.22;41;30
2.99;233;1;256;4;3200;1;0.076715;0.24;47;31
2.92;233;1;256;4;3328;0;0.186074;0.22;44;31
2.98;232;1;256;4;3328;1;0.079410;0.26;49;31
2.92;233;1;256;4;3456;0;0.193374;0.25;44;33
2.99;234;1;256;4;3456;1;0.081084;0.27;51;32
2.93;232;1;256;4;3584;0;0.199610;0.26;45;33
2.98;234;1;256;4;3584;1;0.087985;0.27;52;30
2.92;232;1;256;4;3712;0;0.206860;0.26;47;30
2.99;232;1;256;4;3712;1;0.086681;0.29;54;33
2.93;232;1;256;4;3840;0;0.213313;0.27;48;32
2.99;233;1;256;4;3840;1;0.092995;0.30;56;31
2.91;232;1;256;4;3968;0;0.221467;0.27;50;30
2.97;233;1;256;4;3968;1;0.095581;0.32;57;30
2.92;232;1;256;4;4096;0;0.228241;0.28;51;32
2.99;233;1;256;4;4096;1;0.098275;0.31;59;30
