nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;ram;input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;1400;2.25952;~10524;8.12076;24.3245
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;1600;2.57998;~12078;9.69145;29.1655
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;1800;3.00841;~13555;10.7118;32.0874
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;2000;3.23213;~15032;11.7309;35.0092
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;2200;6.41065;~16563;13.2915;39.8173
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;2400;4.00251;~18063;14.3219;42.772
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;10;0.0615794;~178;0.711367;2.0025
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;200;0.35633;~1585;1.58224;4.87423
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;400;0.690541;~3062;2.60262;7.79611
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;600;1.01311;~4539;3.62164;10.718
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;800;1.30968;~6093;5.19369;15.5589
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;1000;1.73415;~7570;6.21271;18.4808
