comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  protocol  input_size  preprocess  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          4                  NA                 1         ..         512         0           0.006104s            0.01                 4             61
0.01          4                  NA                 1         ..         640         0           0.005988s            0.01                 4             80
0.02          4                  NA                 1         ..         768         0           0.007474s            0.02                 4             75
0.01          6                  NA                 1         ..         896         0           0.008040s            0.01                 6             62
0.02          4                  NA                 1         ..         1024        0           0.009445s            0.02                 4             71
0.02          6                  NA                 1         ..         1152        0           0.009517s            0.02                 6             73
0.01          4                  NA                 1         ..         1280        0           0.009406s            0.01                 4             81
0.02          4                  NA                 1         ..         1408        0           0.010582s            0.02                 4             66
0.02          5                  NA                 1         ..         1536        0           0.010344s            0.02                 5             64
0.02          5                  NA                 1         ..         1664        0           0.011974s            0.02                 5             72
0.02          5                  NA                 1         ..         1792        0           0.012897s            0.02                 5             64
0.02          6                  NA                 1         ..         1920        0           0.014317s            0.02                 6             78
0.02          6                  NA                 1         ..         2048        0           0.011936s            0.02                 6             65
0.02          6                  NA                 1         ..         2176        0           0.014762s            0.02                 6             80
0.02          5                  NA                 1         ..         2304        0           0.014214s            0.02                 5             77
0.02          6                  NA                 1         ..         2432        0           0.015958s            0.02                 6             80
0.02          7                  NA                 1         ..         2560        0           0.016944s            0.02                 7             76
0.02          5                  NA                 1         ..         2688        0           0.018179s            0.02                 5             78
0.02          5                  NA                 1         ..         2816        0           0.018646s            0.02                 5             75
0.03          7                  NA                 1         ..         2944        0           0.018769s            0.03                 7             73
0.03          5                  NA                 1         ..         3072        0           0.019574s            0.03                 5             70
0.02          5                  NA                 1         ..         3200        0           0.018281s            0.02                 5             78
0.03          5                  NA                 1         ..         3328        0           0.019317s            0.03                 5             80
0.03          7                  NA                 1         ..         3456        0           0.021567s            0.03                 7             78
0.03          6                  NA                 1         ..         3584        0           0.020231s            0.03                 6             73
0.02          6                  NA                 1         ..         3712        0           0.013295s            0.02                 6             61
0.02          7                  NA                 1         ..         3840        0           0.016106s            0.02                 7             60
0.02          7                  NA                 1         ..         3968        0           0.017759s            0.02                 7             48
0.03          8                  NA                 1         ..         4096        0           0.019564s            0.03                 8             50
0.00          3                  NA                 1         6          128         0           0.000452s            0.00                 3             150
0.00          3                  NA                 1         6          256         0           0.000613s            0.00                 3             85
0.00          3                  NA                 1         6          384         0           0.000937s            0.00                 3             66
0.00          3                  NA                 1         6          512         0           0.000816s            0.00                 3             57
0.01          4                  NA                 1         6          640         0           0.001210s            0.01                 4             66
0.00          4                  NA                 1         6          768         0           0.001431s            0.00                 4             88
0.00          4                  NA                 1         6          896         0           0.001563s            0.00                 4             87
0.00          4                  NA                 1         6          1024        0           0.001781s            0.00                 4             85
0.00          4                  NA                 1         6          1152        0           0.001607s            0.00                 4             71
0.00          4                  NA                 1         6          1280        0           0.001908s            0.00                 4             83
0.00          4                  NA                 1         6          1408        0           0.002198s            0.00                 4             85
0.01          4                  NA                 1         6          1536        0           0.002193s            0.01                 4             69
0.00          6                  NA                 1         6          1664        0           0.002312s            0.00                 6             100
0.01          5                  NA                 1         6          1792        0           0.002455s            0.01                 5             80
0.01          4                  NA                 1         6          1920        0           0.002428s            0.01                 4             68
0.01          5                  NA                 1         6          2048        0           0.002432s            0.01                 5             90
0.00          6                  NA                 1         6          2176        0           0.002696s            0.00                 6             100
0.01          4                  NA                 1         6          2304        0           0.002775s            0.01                 4             75
0.01          4                  NA                 1         6          2432        0           0.003331s            0.01                 4             66
0.01          4                  NA                 1         6          2560        0           0.003222s            0.01                 4             72
0.01          6                  NA                 1         6          2688        0           0.003842s            0.01                 6             81
0.01          4                  NA                 1         6          2816        0           0.003530s            0.01                 4             62
0.01          4                  NA                 1         6          2944        0           0.003836s            0.01                 4             91
0.01          6                  NA                 1         6          3072        0           0.004028s            0.01                 6             76
0.01          4                  NA                 1         6          3200        0           0.004175s            0.01                 4             83
0.01          4                  NA                 1         6          3328        0           0.004307s            0.01                 4             75
0.01          4                  NA                 1         6          3456        0           0.004093s            0.01                 4             73
0.02          4                  NA                 1         6          3584        0           0.004554s            0.02                 4             66
0.01          4                  NA                 1         6          3712        0           0.004924s            0.01                 4             66
0.01          4                  NA                 1         6          3840        0           0.004188s            0.01                 4             85
0.00          4                  NA                 1         6          3968        0           0.004319s            0.00                 4             77
0.01          4                  NA                 1         6          4096        0           0.005206s            0.01                 4             68
0.01          3                  NA                 8         1          128         0           0.001418s            0.01                 3             66
0.00          5                  NA                 8         1          256         0           0.002128s            0.00                 5             87
0.00          7                  NA                 8         1          384         0           0.002788s            0.00                 7             100
0.01          5                  NA                 8         1          512         0           0.003450s            0.01                 5             53
0.00          4                  NA                 8         1          640         0           0.003841s            0.00                 4             100
0.01          5                  NA                 8         1          768         0           0.003822s            0.01                 5             66
0.01          4                  NA                 8         1          896         0           0.004332s            0.01                 4             58
0.01          4                  NA                 8         1          1024        0           0.005534s            0.01                 4             70
0.02          4                  NA                 8         1          1152        0           0.006008s            0.02                 4             70
0.01          4                  NA                 8         1          1280        0           0.006203s            0.01                 4             90
0.01          4                  NA                 8         1          1408        0           0.006613s            0.01                 4             92
0.01          4                  NA                 8         1          1536        0           0.007195s            0.01                 4             76
0.02          4                  NA                 8         1          1664        0           0.007046s            0.02                 4             66
0.01          6                  NA                 8         1          1792        0           0.007830s            0.01                 6             80
0.02          4                  NA                 8         1          1920        0           0.008118s            0.02                 4             71
0.01          6                  NA                 8         1          2048        0           0.009293s            0.01                 6             94
0.02          4                  NA                 8         1          2176        0           0.009755s            0.02                 4             77
0.01          4                  NA                 8         1          2304        0           0.009728s            0.01                 4             100
0.02          5                  NA                 8         1          2432        0           0.009567s            0.02                 5             65
0.01          6                  NA                 8         1          2560        0           0.011143s            0.01                 6             89
0.01          5                  NA                 8         1          2688        0           0.010975s            0.01                 5             94
0.02          5                  NA                 8         1          2816        0           0.011451s            0.02                 5             62
0.02          5                  NA                 8         1          2944        0           0.012631s            0.02                 5             75
0.02          5                  NA                 8         1          3072        0           0.013235s            0.02                 5             85
0.02          5                  NA                 8         1          3200        0           0.013618s            0.02                 5             86
0.03          5                  NA                 8         1          3328        0           0.012679s            0.03                 5             70
0.03          5                  NA                 8         1          3456        0           0.014515s            0.03                 5             74
0.02          5                  NA                 8         1          3584        0           0.013186s            0.02                 5             64
0.03          5                  NA                 8         1          3712        0           0.015769s            0.03                 5             78
0.03          7                  NA                 8         1          3840        0           0.016438s            0.03                 7             77
0.02          5                  NA                 8         1          3968        0           0.016788s            0.02                 5             88
0.03          5                  NA                 8         1          4096        0           0.017247s            0.03                 5             80
0.01          5                  NA                 8         2          128         0           0.001707s            0.01                 5             81
0.00          5                  NA                 8         2          256         0           0.002477s            0.00                 5             100
0.00          5                  NA                 8         2          384         0           0.003383s            0.00                 5             88
0.01          4                  NA                 8         2          512         0           0.003886s            0.01                 4             63
0.01          4                  NA                 8         2          640         0           0.005104s            0.01                 4             66
0.01          4                  NA                 8         2          768         0           0.005569s            0.01                 4             90
0.01          4                  NA                 8         2          896         0           0.005501s            0.01                 4             80
0.01          4                  NA                 8         2          1024        0           0.006104s            0.01                 4             61
0.01          4                  NA                 8         2          1152        0           0.005988s            0.01                 4             80
0.02          4                  NA                 8         2          1280        0           0.007474s            0.02                 4             75
0.01          6                  NA                 8         2          1408        0           0.008040s            0.01                 6             62
0.02          4                  NA                 8         2          1536        0           0.009445s            0.02                 4             71
0.02          6                  NA                 8         2          1664        0           0.009517s            0.02                 6             73
0.01          4                  NA                 8         2          1792        0           0.009406s            0.01                 4             81
0.02          4                  NA                 8         2          1920        0           0.010582s            0.02                 4             66
0.02          5                  NA                 8         2          2048        0           0.010344s            0.02                 5             64
0.02          5                  NA                 8         2          2176        0           0.011974s            0.02                 5             72
0.02          5                  NA                 8         2          2304        0           0.012897s            0.02                 5             64
0.02          6                  NA                 8         2          2432        0           0.014317s            0.02                 6             78
0.02          6                  NA                 8         2          2560        0           0.011936s            0.02                 6             65
0.02          6                  NA                 8         2          2688        0           0.014762s            0.02                 6             80
0.02          5                  NA                 8         2          2816        0           0.014214s            0.02                 5             77
0.02          6                  NA                 8         2          2944        0           0.015958s            0.02                 6             80
0.02          7                  NA                 8         2          3072        0           0.016944s            0.02                 7             76
0.02          5                  NA                 8         2          3200        0           0.018179s            0.02                 5             78
0.02          5                  NA                 8         2          3328        0           0.018646s            0.02                 5             75
0.03          7                  NA                 8         2          3456        0           0.018769s            0.03                 7             73
0.03          5                  NA                 8         2          3584        0           0.019574s            0.03                 5             70
0.02          5                  NA                 8         2          3712        0           0.018281s            0.02                 5             78
0.03          5                  NA                 8         2          3840        0           0.019317s            0.03                 5             80
0.03          7                  NA                 8         2          3968        0           0.021567s            0.03                 7             78
0.03          6                  NA                 8         2          4096        0           0.020231s            0.03                 6             73
