program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)     Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         400              4096        0.142394             1.77                 290           98         NA            0.520248        NA               4.8e-05  3           0.138123  4.8e-05  3           0.142404  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0122021   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         300              4096        0.150291             1.77                 290           98         NA            0.520248        NA               4.8e-05  3           0.145395  4.8e-05  3           0.150701  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0192143   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         200              4096        0.145759             1.78                 292           97         NA            0.520248        NA               4.8e-05  3           0.141143  4.8e-05  3           0.145957  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0194916   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         100              4096        0.162243             1.82                 290           95         NA            0.520248        NA               4.8e-05  3           0.15758   4.8e-05  3           0.162496  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0333846   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         80               4096        0.171995             1.83                 290           96         NA            0.520248        NA               4.8e-05  3           0.167567  4.8e-05  3           0.17198   NA             NA                 NA            NA        NA            NA       0.5202       8                0.041345    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         60               4096        0.180418             1.81                 290           95         NA            0.520248        NA               4.8e-05  3           0.175524  4.8e-05  3           0.180976  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0467358   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         40               4096        0.230997             1.90                 290           93         NA            0.520248        NA               4.8e-05  3           0.227005  4.8e-05  3           0.230696  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0813475   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         30               4096        0.262133             1.92                 290           90         NA            0.520248        NA               4.8e-05  3           0.257307  4.8e-05  3           0.262603  NA             NA                 NA            NA        NA            NA       0.5202       8                0.134788    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         600              4096        0.146847             1.84                 290           98         NA            0.520248        NA               4.8e-05  3           0.142507  4.8e-05  3           0.146414  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0124129   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         500              4096        0.149308             1.84                 292           98         NA            0.520248        NA               4.8e-05  3           0.144235  4.8e-05  3           0.149596  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0176692   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
