program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
31;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;30;0.859834;1.11;43;80;~879;3.52423;10.1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;30;0.826641;1.05;43;82;~879;3.52423;10.1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;30;0.784628;0.99;43;82;~879;3.52423;10.1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85;30;0.757258;0.95;43;84;~879;3.52423;10.1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90;30;0.766505;0.96;45;82;~879;3.52423;10.1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;95;30;0.749065;0.93;43;83;~879;3.52423;10.1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;30;0.69332;0.88;43;84;~879;3.52423;10.1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;semi;3;0.26;28;1;30;1;NA;NA;NA;NA;3120;1890;NA;213;10;30;20.4235;20.48;65;129;~900;49.5791;148.359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;semi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;30;13.7756;13.84;61;106;~900;49.5791;148.359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;semi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;10.4334;10.50;63;120;~900;49.5791;148.359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
