program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 90               30          0.372393             0.41                 18            85         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 95               30          0.379292             0.42                 19            85         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 100              30          0.311871             0.35                 18            95         NA            0.956064        NA
31       BINARY    malhonest      malicious-ccd      3          0.42          32                 1                  10               30          0.643865             0.69                 15            56         NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 15               30          0.558996             0.60                 15            106        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 20               30          0.513754             0.55                 15            120        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 25               30          0.487972             0.52                 13            129        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 30               30          0.473191             0.52                 15            134        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 35               30          0.448937             0.49                 15            142        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 40               30          0.433907             0.48                 13            137        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 45               30          0.431294             0.46                 15            145        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 50               30          0.396098             0.44                 13            132        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 55               30          0.40361              0.45                 15            138        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 60               30          0.344407             0.39                 15            149        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 65               30          0.348038             0.38                 15            160        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 70               30          0.378695             0.42                 15            145        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 75               30          0.391405             0.43                 15            144        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 80               30          0.270709             0.31                 15            143        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 85               30          0.384299             0.42                 13            144        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 90               30          0.366931             0.40                 13            157        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 95               30          0.373513             0.42                 15            151        NA            1.16047         NA
31       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 100              30          0.351838             0.40                 13            147        NA            1.16047         NA
31       BINARY    malhonest      ps-rep-bin         3          0.42          32                 1                  10               30          54.9748              55.02                373           3          NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 15               30          37.1246              37.16                372           5          NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 20               30          28.1739              28.21                372           6          NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 25               30          22.761               22.79                373           8          NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 30               30          19.2226              19.27                373           10         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 35               30          16.5073              16.54                371           8          NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 40               30          14.7461              14.79                371           13         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 45               30          13.2807              13.33                371           15         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 50               30          12.0812              12.13                373           16         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 55               30          10.9784              11.01                372           18         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 60               30          10.0383              10.08                372           19         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 65               30          9.37043              9.41                 373           19         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 70               30          8.99287              9.03                 372           21         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 75               30          8.47235              8.51                 372           25         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 80               30          7.80859              7.85                 371           25         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 85               30          7.53021              7.57                 373           23         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 90               30          7.23648              7.27                 373           28         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 95               30          6.8778               6.92                 371           27         NA            67.2439         NA
31       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 100              30          6.61769              6.66                 373           29         NA            67.2439         NA
31       BINARY    malhonest      mal-shamir-bmr     3          0.42          32                 1                  10               30          13.8196              13.86                59            7          NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 15               30          9.29708              9.34                 60            10         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 20               30          7.05893              7.10                 60            14         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 25               30          5.72341              5.76                 58            18         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 30               30          4.81797              4.86                 63            22         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 35               30          4.16903              4.21                 57            25         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 40               30          3.706                3.74                 58            28         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 45               30          3.33478              3.37                 55            30         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 50               30          3.05133              3.09                 57            33         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 55               30          2.78887              2.83                 59            37         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 60               30          2.57425              2.62                 60            36         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 65               30          2.45888              2.50                 58            37         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 70               30          2.33718              2.38                 57            43         NA            33.8032         NA
