nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;60;4.05445;12;NA;0.949908;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;70;5.44175;11;NA;1.28602;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;80;7.03254;13;NA;1.67293;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;90;9.03166;11;NA;2.11064;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;100;10.9765;13;NA;2.59915;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;110;13.5125;12;NA;3.13846;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;120;15.8868;13;NA;3.72857;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;130;18.5664;12;NA;4.36948;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;140;21.9582;12;NA;5.06119;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;150;24.8772;14;NA;5.8037;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;160;27.695;15;NA;6.59701;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;170;31.9396;13;NA;7.44112;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;180;35.4448;16;NA;8.33603;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;190;39.4644;15;NA;9.28174;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;200;43.8859;16;NA;10.2782;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;10;0.153973;11;NA;0.031358;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;20;0.573316;10;NA;0.113468;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;30;1.15022;12;NA;0.246378;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;40;1.96222;12;NA;0.430088;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;50;3.06818;10;NA;0.664598;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;60;4.35241;10;NA;0.949908;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;70;5.92782;11;NA;1.28602;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;80;7.61407;11;NA;1.67293;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;90;9.50804;11;NA;2.11064;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;100;11.7253;11;NA;2.59915;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;110;15.0115;13;NA;3.13846;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;120;17.0672;13;NA;3.72857;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;130;20.4268;12;NA;4.36948;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;140;23.1244;12;NA;5.06119;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;150;26.4653;12;NA;5.8037;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;160;30.3692;15;NA;6.59701;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;170;33.6526;15;NA;7.44112;NA
