nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;packetdrops(%);runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;0.5;20.2733;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;1;37.9556;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;1.5;53.9834;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;2;79.3652;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;244170;19141;30;0;8.95767;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;0.5;12.7917;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;1;22.774;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;1.5;29.9908;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;2;37.8838;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;244170;19141;30;0;1.17009;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;0.5;2.07377;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;1;3.01468;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;1.5;8.41122;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;2;14.2978;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;244170;19141;30;0;1.45368;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;0.5;2.83104;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;1;8.85572;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;1.5;17.2509;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;2;29.95;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;244170;19141;30;0;4.45602;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;0.5;8.76203;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;1;16.4705;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;1.5;20.7682;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;NA;NA;30;2;24.5051;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;244170;19141;30;0;3.05352;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;0.5;3.40276;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;1;4.34711;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;1.5;5.16041;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;NA;NA;NA;30;2;7.94388;NA;148.705;NA
