comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;1;8;1;0;2;1024;0;2;.000034;NA;.000114;.000128;.000127;0.02;12;1550
0.01;3;1;1;8;1;0;2;10240;0;2;.000342;NA;.001125;.001259;.001258;0.05;12;1439
0.01;3;1;1;8;1;0;2;102400;0;2;.003080;NA;.017465;.020232;.020232;0.49;57;1457
0.01;3;1;1;8;1;0;3;1024;0;2;.000026;NA;.000096;.000115;.000115;0.01;7;1689
0.01;3;1;1;8;1;0;3;10240;0;2;.000253;NA;.000675;.000975;.000975;0.04;12;1245
0.01;3;1;1;8;1;0;3;102400;0;2;.002281;NA;.010132;.015412;.015412;0.40;57;1116
0.01;3;1;1;8;1;0;4;1024;0;2;.000026;NA;.000080;.000102;.000102;0.02;8;1465
0.01;3;1;1;8;1;0;4;10240;0;2;.000252;NA;.000515;.000728;.000728;0.04;11;1245
0.01;3;1;1;8;1;0;4;102400;0;2;.002279;NA;.006562;.008793;.008793;0.26;50;1276
0.01;3;1;1;8;1;0;5;1024;0;2;.000026;NA;.000094;.000117;.000116;0.02;7;1468
0.01;3;1;1;8;1;0;5;10240;0;2;.000245;NA;.000525;.000946;.000946;0.04;11;1030
0.01;3;1;1;8;1;0;5;102400;0;2;.002329;NA;.009372;.013938;.013938;0.37;50;1164
0.01;3;1;1;8;1;0;6;1024;0;2;.000008;NA;.000049;.000047;.000047;0.02;7;1371
0.01;3;1;1;8;1;0;6;10240;0;2;.000076;NA;.000209;.000296;.000296;0.03;9;1323
0.01;3;1;1;8;1;0;6;102400;0;2;.000671;NA;.002476;.003644;.003644;0.13;32;1121
0.01;3;1;1;64;1;0;1;1024;0;2;.000022;NA;.000448;.000365;.000365;0.02;11;1662
0.01;3;1;1;64;1;0;1;10240;0;2;.000207;NA;.004727;.003949;.003949;0.10;48;1916
0.01;3;1;1;64;1;0;1;102400;0;2;.001995;NA;.050446;.043020;.043020;0.92;404;1994
0.01;3;1;1;64;1;0;2;1024;0;2;.000043;NA;.000364;.000345;.000345;0.02;13;1592
0.01;3;1;1;64;1;0;2;10240;0;2;.000379;NA;.003731;.003905;.003905;0.11;47;1578
0.01;3;1;1;64;1;0;2;102400;0;2;.003627;NA;.043677;.044411;.044411;1.00;405;1679
0.02;3;1;1;64;1;0;3;1024;0;2;.000025;NA;.000269;.000316;.000316;0.02;11;1480
0.01;3;1;1;64;1;0;3;10240;0;2;.000230;NA;.002752;.003354;.003354;0.09;47;1390
0.01;3;1;1;64;1;0;3;102400;0;2;.002201;NA;.031276;.040453;.040453;0.93;406;1328
0.01;3;1;1;64;1;0;4;1024;0;2;.000026;NA;.000224;.000269;.000269;0.02;10;1434
0.01;3;1;1;64;1;0;4;10240;0;2;.000241;NA;.001970;.002623;.002623;0.08;42;1327
0.01;3;1;1;64;1;0;4;102400;0;2;.002308;NA;.028194;.036679;.036679;0.83;354;1374
0.01;3;1;1;64;1;0;5;1024;0;2;.000025;NA;.000253;.000321;.000321;0.02;10;1446
0.01;3;1;1;64;1;0;5;10240;0;2;.000233;NA;.002730;.003240;.003240;0.09;42;1388
0.01;3;1;1;64;1;0;5;102400;0;2;.002224;NA;.031906;.038974;.038974;0.87;355;1433
0.02;3;1;1;64;1;0;6;1024;0;2;.000008;NA;.000099;.000184;.000184;0.02;9;1295
0.01;3;1;1;64;1;0;6;10240;0;2;.000072;NA;.000939;.001120;.001120;0.05;28;1350
0.01;3;1;1;64;1;0;6;102400;0;2;.000653;NA;.013426;.015351;.015351;0.42;207;1449
0.01;3;1;1;128;1;0;1;1024;0;2;.000022;NA;.000815;.000700;.000700;0.03;15;1605
0.01;3;1;1;128;1;0;1;10240;0;2;.000195;NA;.007846;.006253;.006253;0.15;86;2009
0.01;3;1;1;128;1;0;1;102400;0;2;.001990;NA;.074295;.062568;.062568;1.38;804;1996
0.01;3;1;1;128;1;0;2;1024;0;2;.000056;NA;.000703;.000723;.000723;0.03;15;1521
0.01;3;1;1;128;1;0;2;10240;0;2;.000431;NA;.006501;.006343;.006343;0.16;87;1703
