program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)     Rx(MB)    Rx(rounds)  Rx(s)    Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             5              30          38.4714              38.67                63            2          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             30          74.7439              75.08                64            1          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             15             30          110.996              111.46               64            1          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             30          147.122              147.72               62            1          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             25             30          183.376              184.08               63            0          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             30          219.62               220.45               60            0          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             35             30          255.833              256.79               64            0          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             30          291.875              292.93               62            0          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             45             30          328.059              329.24               63            0          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             50             30          364.381              365.68               64            0          ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  temi               3          0.54          29                 1                  900           900           900           NA            NA            NA           NA            2700             NA               3601           0              30          0.552275             0.69                 39            59         ~14410        4.13017         9.04272          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
