program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
34       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 25             30          5829.55              5830.58              2674          18         NA            48890.6         NA
34       BINARY    semihonest     shamir-bmr         3          9.93          487                4                  0              30          162.804              162.95               2332          105        NA            14927           NA
34       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 5              30          821.499              821.81               2335          27         NA            14927           NA
34       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 10             30          1455.86              1456.37              2347          15         NA            14927           NA
34       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 15             30          2094.31              2094.99              2343          10         NA            14927           NA
34       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 20             30          2733.09              2733.94              2337          8          NA            14927           NA
34       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 25             30          3362.33              3363.35              2336          6          NA            14927           NA
34       BINARY    semihonest     rep-bmr            3          9.93          487                4                  0              30          55.3549              55.48                1817          109        NA            7332.31         NA
34       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 5              30          440.034              440.36               1819          32         NA            7332.31         NA
34       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 10             30          756.245              756.78               1820          19         NA            7332.31         NA
34       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 15             30          1074.35              1075.07              1818          13         NA            7332.31         NA
34       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 20             30          1390.96              1391.87              1820          10         NA            7332.31         NA
34       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 25             30          1704.02              1705.12              1820          8          NA            7332.31         NA
34       BINARY    semihonest     replicated-bin     3          9.93          487                4                  0              30          24.2339              24.34                32            103        NA            12.1122         NA
34       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 5              30          482.333              482.64               29            10         NA            12.1122         NA
34       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 10             30          919.016              919.53               31            5          NA            12.1122         NA
34       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 15             30          1355.87              1356.58              30            3          NA            12.1122         NA
34       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 20             30          1792.74              1793.69              31            2          NA            12.1122         NA
34       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 25             30          2228.69              2229.77              30            2          NA            12.1122         NA
34       BINARY    semihonest     ccd                3          9.93          487                4                  0              30          42.9703              43.08                44            174        NA            24.2676         NA
34       BINARY    semihonest     ccd                3          NA            NA                 NA                 5              30          484.286              484.61               44            18         NA            24.2676         NA
34       BINARY    semihonest     ccd                3          NA            NA                 NA                 10             30          922.068              922.58               43            10         NA            24.2676         NA
34       BINARY    semihonest     ccd                3          NA            NA                 NA                 15             30          1358.38              1359.09              42            7          NA            24.2676         NA
34       BINARY    semihonest     ccd                3          NA            NA                 NA                 20             30          1794.83              1795.78              43            5          NA            24.2676         NA
34       BINARY    semihonest     ccd                3          NA            NA                 NA                 25             30          2231.39              2232.53              43            4          NA            24.2676         NA
