nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;40;1.83457;NA;NA;7.66726;NA;4.8e-05;3;1.83128;4.8e-05;3;1.83434;0.000116;5;0.00146744;NA;NA;NA;7.66698;24324;1.67738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;50;2.88147;NA;NA;11.4086;NA;4.8e-05;3;2.87814;4.8e-05;3;2.8811;0.000116;5;0.00200284;NA;NA;NA;11.4083;37404;2.65481;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;60;4.08286;NA;NA;16.7925;NA;6.4e-05;4;1.28168;6.4e-05;4;4.08334;0.0002;8;0.00253393;NA;NA;NA;16.792;53287;3.73803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;70;5.444;NA;NA;22.1595;NA;6.4e-05;4;2.63842;6.4e-05;4;5.44405;0.0002;8;0.00289775;NA;NA;NA;22.159;71967;5.00139;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;80;6.94363;NA;NA;29.1689;NA;8e-05;5;1.43328;8e-05;5;6.94321;0.000284;11;0.00390896;NA;NA;NA;29.1683;93450;6.36387;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;90;9.16931;NA;NA;36.9912;NA;9.6e-05;6;0.515325;9.6e-05;6;9.16967;0.000368;14;0.0048543;NA;NA;NA;36.9904;117733;8.43382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;100;10.9773;NA;NA;44.7966;NA;9.6e-05;6;2.57026;9.6e-05;6;10.9767;0.000368;14;0.00324221;NA;NA;NA;44.7957;144813;10.1048;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;110;13.2451;NA;NA;54.2445;NA;0.000112;7;2.05537;0.000112;7;13.2458;0.000452;17;0.0057272;NA;NA;NA;54.2434;174696;12.1835;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;120;15.6323;NA;NA;64.5051;NA;0.000128;8;1.65353;0.000128;8;15.6317;0.000536;20;0.00531506;NA;NA;NA;64.5039;207379;14.3788;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;130;18.4782;NA;NA;75.5786;NA;0.000144;9;1.6151;0.000144;9;18.4784;0.00062;23;0.00694853;NA;NA;NA;75.5772;242862;16.9773;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
