nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;20;0.0487483;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;25;0.0754186;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;30;0.105751;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;35;0.139818;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;40;0.189321;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;45;0.227384;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;50;0.294626;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;55;0.353296;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;60;0.41888;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.6;65;0.491551;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;5;0.00387697;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;10;0.0127155;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;15;0.0248759;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;20;0.0454261;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;25;0.0664633;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;30;0.0975787;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;35;0.126991;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;40;0.178751;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;45;0.210288;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;50;0.259444;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;55;0.309989;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;60;0.373341;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;3;65;0.440541;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;5;0.00424081;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;10;0.0121232;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;15;0.0256681;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;20;0.0441197;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;25;0.0667656;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;30;0.0960571;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;35;0.133122;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;40;0.168639;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;45;0.212447;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;50;0.2638;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;55;0.310999;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;60;0.385;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2.2;65;0.440481;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;5;0.00464696;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;10;0.0126276;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;15;0.0266842;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;20;0.0452232;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;25;0.0702665;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;30;0.100828;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;35;0.133959;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;40;0.17913;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;45;0.225723;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;50;0.277391;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;55;0.328788;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;60;0.410339;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;2;65;0.453935;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;5;0.00445744;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;10;0.0141499;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;15;0.0271199;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;20;0.0450666;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;25;0.0697657;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;30;0.0988323;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;35;0.140165;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;40;0.17154;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;45;0.223642;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;50;0.282738;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;55;0.343777;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;60;0.410037;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.8;65;0.464106;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;5;0.00480061;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;10;0.0135127;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;15;0.026223;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;20;0.0465088;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;25;0.0748837;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;30;0.107114;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;35;0.143291;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;40;0.187512;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;45;0.238748;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;50;0.295753;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;55;0.337339;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;60;0.413713;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;4;1.6;65;0.489672;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;5;0.00420314;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;10;0.0135482;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;15;0.0261287;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;20;0.04532;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;25;0.0673995;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;30;0.0975042;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;35;0.134321;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;40;0.168059;NA;~1601;0.0512;0.1536
