program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);cpus;freqs(GHz);quotas(%);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;60;100;6;7.3214;13.91;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;60;100;9;16.3464;22.93;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;240;50;3;0.955299;4.28;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;240;50;6;3.6681;6.99;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;240;50;9;8.19005;11.52;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;240;100;3;1.90526;8.48;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;240;100;6;7.31817;13.89;14;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;240;100;9;16.3409;22.92;15;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;120;50;3;0.955193;4.29;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;120;50;6;3.66853;7.00;12;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;120;50;9;8.19068;11.52;12;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;120;100;3;1.90489;8.49;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;120;100;6;7.31895;13.89;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;120;100;9;16.3404;22.92;15;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;60;50;3;0.95507;4.28;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;60;50;6;3.66857;6.99;12;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;60;50;9;8.19095;11.52;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;60;100;3;1.90559;8.49;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;60;100;6;7.31866;13.89;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2.6;60;100;9;16.3406;22.92;14;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;240;50;3;0.955314;4.29;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;240;50;6;3.6683;7.00;15;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;240;50;9;8.19022;11.52;15;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;240;100;3;1.90531;8.49;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;240;100;6;7.31852;13.90;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;240;100;9;16.3406;22.93;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;120;50;3;0.955491;4.29;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;120;50;6;3.66856;7.00;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;120;50;9;8.19102;11.52;15;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;120;100;3;1.90502;8.49;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;120;100;6;7.31842;13.90;15;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;120;100;9;16.3408;22.92;14;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;60;50;3;0.955105;4.29;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;60;50;6;3.66876;7.00;15;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;60;50;9;8.19086;11.52;14;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;60;100;3;1.90533;8.49;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;60;100;6;7.31837;13.90;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;1;2;60;100;9;16.3401;22.92;13;0;~163;0.005184;0.011664
32;FIELD;malhonest;malicious-shamir;3;0.28;30;1;4;2.6;240;50;3;0.554221;3.83;15;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;0.12;16;1;4;2.6;240;50;6;1.91371;5.19;14;1;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;0.14;17;1;4;2.6;240;50;9;4.17548;7.45;16;1;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;240;100;3;1.10516;7.58;15;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;240;100;6;3.81245;10.29;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;240;100;9;8.32574;14.80;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;120;50;3;0.555072;3.83;13;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;120;50;6;1.9137;5.19;14;1;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;120;50;9;4.17621;7.45;14;1;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;120;100;3;1.10474;7.58;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;120;100;6;3.81317;10.29;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;120;100;9;8.32709;14.80;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;60;50;3;0.554329;3.83;14;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;60;50;6;1.91281;5.19;15;1;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;60;50;9;4.17708;7.45;14;1;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;60;100;3;1.10496;7.58;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;60;100;6;3.8124;10.29;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2.6;60;100;9;8.32669;14.80;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;240;50;3;0.553966;3.84;14;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;240;50;6;1.91326;5.20;16;1;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;240;50;9;4.17697;7.46;14;1;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;240;100;3;1.10465;7.59;13;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;240;100;6;3.81353;10.29;16;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;240;100;9;8.32723;14.81;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;120;50;3;0.554343;3.84;14;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;120;50;6;1.91422;5.20;16;1;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;120;50;9;4.17792;7.46;14;1;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;120;100;3;1.1045;7.59;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;120;100;6;3.81312;10.30;13;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;120;100;9;8.32698;14.81;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;60;50;3;0.554417;3.84;13;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;60;50;6;1.91338;5.20;14;1;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;60;50;9;4.17794;7.46;14;1;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;60;100;3;1.10482;7.59;13;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;60;100;6;3.81279;10.30;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;4;2;60;100;9;8.32741;14.81;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;240;50;3;0.553751;3.83;14;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;240;50;6;1.91149;5.19;16;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;240;50;9;4.17203;7.45;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;240;100;3;1.10376;7.58;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;240;100;6;3.81057;10.29;13;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;240;100;9;8.32137;14.80;14;0;~82;0.005184;0.015552
