nodes;program;c.domain;adv.model;protocol;partysize;bandwidths(Mbs);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;95;30;15.5685;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;90;30;16.2915;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;85;30;17.1835;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;80;30;18.174;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;75;30;19.1418;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;70;30;20.3264;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;65;30;21.6922;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;60;30;23.2876;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;55;30;25.11;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;50;30;27.4504;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;45;30;30.2843;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;40;30;33.6318;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;35;30;38.0873;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;30;30;43.8979;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;25;30;52.2727;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;20;30;64.754;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;15;30;85.3743;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;10;30;126.842;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;5;30;251.158;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;100;30;24.3684;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;95;30;25.5712;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;90;30;26.7571;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;85;30;28.0083;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;80;30;29.5558;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;75;30;31.2423;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;70;30;33.2517;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;65;30;35.5931;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;60;30;38.3153;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;55;30;41.4572;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;50;30;45.1679;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;45;30;49.9571;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;40;30;55.6172;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;35;30;63.0325;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;30;72.8755;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;25;30;86.825;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;20;30;107.57;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;15;30;142.017;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;10;30;211.1;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;5;30;418.941;NA;NA;303.03;NA
