nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;120;600;14.7183;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;120;800;21.5037;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;120;1000;24.5472;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;120;1200;29.3602;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;120;1400;34.7682;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;120;1600;39.0117;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;120;1800;48.0638;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;120;2000;53.3444;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;10;0.883346;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;200;7.25199;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;400;13.9128;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;600;21.2044;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;800;27.2868;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;1000;34.667;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;1200;40.8275;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;1400;50.1061;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;1600;54.1106;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;1800;61.195;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.3;60;2000;67.7395;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;10;0.475811;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;200;5.18361;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;400;10.2938;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;600;15.2729;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;800;20.4097;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;1000;27.256;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;1200;30.2892;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;1400;38.7436;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;1600;40.6212;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;1800;45.7191;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;240;2000;54.82;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;10;0.476708;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;200;5.68628;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;400;11.3519;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;600;15.3048;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;800;22.1723;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;1000;27.4231;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;1200;32.9352;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;1400;35.5181;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;1600;43.7829;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;1800;45.75;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;180;2000;54.7004;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;10;0.536135;NA;~316;24.7696;74.1397
