comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    2        256       0         1         0         4         0         0         40960       0           2           .000076      NA          .009445           .017052             .017052            .024444              558           1917
1.44          231                1                  0    2        256       0         1         0         5         0         0         40960       0           0           0.002315     NA          0.172681          0.291522            0.291521           0.42                 481           135
0.02          3                  1                  0    2        256       0         1         0         5         0         0         40960       0           1           .000224      NA          .019691           .028679             .028679            .040000              559           854
0.02          3                  1                  0    2        256       0         1         0         5         0         0         40960       0           2           .000085      NA          .013423           .020248             .020248            .027777              559           2156
1.44          232                1                  0    2        256       0         1         0         6         0         0         40960       0           0           0.000925     NA          0.076532          0.101077            0.101076           0.22                 323           181
0.02          3                  1                  0    2        256       0         1         0         6         0         0         40960       0           1           .000052      NA          .006625           .008656             .008656            .020000              323           934
0.02          3                  1                  0    2        256       0         1         0         6         0         0         40960       0           2           .000020      NA          .004776           .006124             .006124            .011388              323           2767
1.43          229                1                  0    4        128       0         1         0         1         0         0         40960       0           0           0.007536     NA          0.204820          0.217092            0.217091           0.31                 320           363
0.02          3                  1                  0    4        128       0         1         0         1         0         0         40960       0           1           .000319      NA          .014421           .020023             .020023            .025000              320           1736
0.02          3                  1                  0    4        128       0         1         0         1         0         0         40960       0           2           .000197      NA          .010301           .017581             .017581            .021527              320           3991
1.43          228                1                  0    4        128       0         1         0         2         0         0         40960       0           0           0.006887     NA          0.193667          0.238612            0.238611           0.33                 321           333
0.02          3                  1                  0    4        128       0         1         0         2         0         0         40960       0           1           .000466      NA          .012135           .016378             .016378            .021666              321           1728
0.02          3                  1                  0    4        128       0         1         0         2         0         0         40960       0           2           .000362      NA          .007794           .015885             .015885            .020138              321           3399
1.42          229                1                  0    4        128       0         1         0         3         0         0         40960       0           0           0.001815     NA          0.134265          0.251864            0.251863           0.34                 202           242
0.02          3                  1                  0    4        128       0         1         0         3         0         0         40960       0           1           .000107      NA          .010359           .013644             .013644            .018333              321           1761
0.02          3                  1                  0    4        128       0         1         0         3         0         0         40960       0           2           .000069      NA          .007506           .012798             .012798            .016388              321           3905
1.41          228                1                  0    4        128       0         1         0         4         0         0         40960       0           0           0.001982     NA          0.131462          0.276377            0.276376           0.36                 201           228
0.01          3                  1                  0    4        128       0         1         0         4         0         0         40960       0           1           .000105      NA          .006521           .011912             .011912            .016250              280           1392
0.02          3                  1                  0    4        128       0         1         0         4         0         0         40960       0           2           .000061      NA          .004375           .010119             .010119            .014444              280           2897
1.43          228                1                  0    4        128       0         1         0         5         0         0         40960       0           0           0.001807     NA          0.140735          0.250046            0.250045           0.33                 242           257
0.02          3                  1                  0    4        128       0         1         0         5         0         0         40960       0           1           .000109      NA          .008883           .013283             .013283            .017500              281           1614
0.02          3                  1                  0    4        128       0         1         0         5         0         0         40960       0           2           .000068      NA          .007336           .012912             .012912            .016944              281           3715
1.39          227                1                  0    4        128       0         1         0         6         0         0         40960       0           0           0.000936     NA          0.052985          0.082840            0.082839           0.17                 163           286
0.02          3                  1                  0    4        128       0         1         0         6         0         0         40960       0           1           .000026      NA          .003134           .003912             .003912            .007916              163           1825
0.01          3                  1                  0    4        128       0         1         0         6         0         0         40960       0           2           .000015      NA          .003437           .004477             .004477            .007222              163           5288
1.47          232                1                  0    4        256       0         1         0         1         0         0         40960       0           0           0.007375     NA          0.309029          0.317161            0.317160           0.44                 638           389
0.02          3                  1                  0    4        256       0         1         0         1         0         0         40960       0           1           .000322      NA          .023819           .036610             .036610            .044166              638           1578
0.02          3                  1                  0    4        256       0         1         0         1         0         0         40960       0           2           .000199      NA          .015818           .031819             .031819            .038194              641           3561
1.42          233                1                  0    4        256       0         1         0         2         0         0         40960       0           0           0.007129     NA          0.278788          0.406214            0.406214           0.54                 640           286
0.02          3                  1                  0    4        256       0         1         0         2         0         0         40960       0           1           .000585      NA          .017816           .027737             .027737            .035000              640           1557
0.02          3                  1                  0    4        256       0         1         0         2         0         0         40960       0           2           .000589      NA          .012015           .028415             .028415            .036527              644           3017
1.43          232                1                  0    4        256       0         1         0         3         0         0         40960       0           0           0.002311     NA          0.164232          0.425705            0.425704           0.55                 401           197
0.02          3                  1                  0    4        256       0         1         0         3         0         0         40960       0           1           .000113      NA          .014134           .022963             .022963            .030833              639           1457
0.02          3                  1                  0    4        256       0         1         0         3         0         0         40960       0           2           .000075      NA          .010939           .021169             .021169            .028611              639           3443
1.44          232                1                  0    4        256       0         1         0         4         0         0         40960       0           0           0.001653     NA          0.160067          0.392141            0.392140           0.51                 400           211
0.02          3                  1                  0    4        256       0         1         0         4         0         0         40960       0           1           .000102      NA          .009807           .021285             .021285            .028333              558           1225
0.02          3                  1                  0    4        256       0         1         0         4         0         0         40960       0           2           .000063      NA          .006580           .017173             .017173            .024166              559           2751
1.46          231                1                  0    4        256       0         1         0         5         0         0         40960       0           0           0.002316     NA          0.179258          0.429080            0.429079           0.55                 481           206
0.02          3                  1                  0    4        256       0         1         0         5         0         0         40960       0           1           .000115      NA          .014329           .022416             .022416            .029166              559           1561
0.02          3                  1                  0    4        256       0         1         0         5         0         0         40960       0           2           .000076      NA          .010342           .020688             .020688            .027638              559           3400
1.41          230                1                  0    4        256       0         1         0         6         0         0         40960       0           0           0.000921     NA          0.077340          0.158609            0.158608           0.28                 323           286
0.02          3                  1                  0    4        256       0         1         0         6         0         0         40960       0           1           .000026      NA          .004943           .006697             .006697            .012916              323           1837
0.02          3                  1                  0    4        256       0         1         0         6         0         0         40960       0           2           .000015      NA          .004590           .006143             .006143            .011666              323           5298
1.43          229                1                  0    6        128       0         1         0         1         0         0         40960       0           0           0.007390     NA          0.218868          0.221119            0.221119           0.31                 320           558
0.02          3                  1                  0    6        128       0         1         0         1         0         0         40960       0           1           .000253      NA          .013397           .019115             .019115            .023333              320           2458
0.02          3                  1                  0    6        128       0         1         0         1         0         0         40960       0           2           .000128      NA          .007541           .019656             .019656            .023518              320           4132
1.43          230                1                  0    6        128       0         1         0         2         0         0         40960       0           0           0.007502     NA          0.189950          0.292077            0.292077           0.39                 321           421
0.02          3                  1                  0    6        128       0         1         0         2         0         0         40960       0           1           .000338      NA          .010300           .014864             .014864            .019166              321           2398
0.02          3                  1                  0    6        128       0         1         0         2         0         0         40960       0           2           .000233      NA          .006795           .016573             .016573            .020740              323           4156
1.41          229                1                  0    6        128       0         1         0         3         0         0         40960       0           0           0.001852     NA          0.133449          0.318115            0.318114           0.41                 202           300
0.02          3                  1                  0    6        128       0         1         0         3         0         0         40960       0           1           .000084      NA          .007753           .013405             .013405            .018888              321           1877
0.02          3                  1                  0    6        128       0         1         0         3         0         0         40960       0           2           .000047      NA          .005836           .012954             .012954            .016851              321           4347
1.42          227                1                  0    6        128       0         1         0         4         0         0         40960       0           0           0.001908     NA          0.128874          0.289068            0.289068           0.38                 201           312
0.02          3                  1                  0    6        128       0         1         0         4         0         0         40960       0           1           .000082      NA          .005184           .010702             .010702            .014444              280           1827
0.02          3                  1                  0    6        128       0         1         0         4         0         0         40960       0           2           .000041      NA          .003555           .010873             .010873            .014444              280           3391
1.42          228                1                  0    6        128       0         1         0         5         0         0         40960       0           0           0.001814     NA          0.144102          0.325151            0.325150           0.39                 242           327
0.02          3                  1                  0    6        128       0         1         0         5         0         0         40960       0           1           .000085      NA          .008195           .012436             .012436            .015833              281           2365
0.02          3                  1                  0    6        128       0         1         0         5         0         0         40960       0           2           .000047      NA          .005662           .013398             .013398            .016666              281           4314
1.39          228                1                  0    6        128       0         1         0         6         0         0         40960       0           0           0.000921     NA          0.047203          0.110044            0.110043           0.20                 163           366
0.02          3                  1                  0    6        128       0         1         0         6         0         0         40960       0           1           .000019      NA          .003110           .003872             .003872            .007222              163           2703
0.02          3                  1                  0    6        128       0         1         0         6         0         0         40960       0           2           .000010      NA          .002641           .004718             .004718            .007592              163           5910
1.47          233                1                  0    6        256       0         1         0         1         0         0         40960       0           0           0.007530     NA          0.323371          0.343893            0.343893           0.48                 638           552
0.02          3                  1                  0    6        256       0         1         0         1         0         0         40960       0           1           .000255      NA          .019002           .033431             .033431            .040555              638           2038
0.02          3                  1                  0    6        256       0         1         0         1         0         0         40960       0           2           .000126      NA          .010941           .031628             .031628            .038333              638           3699
1.46          232                1                  0    6        256       0         1         0         2         0         0         40960       0           0           0.007127     NA          0.276761          0.469539            0.469538           0.60                 640           389
0.02          3                  1                  0    6        256       0         1         0         2         0         0         40960       0           1           .000490      NA          .013248           .026362             .026362            .035000              640           1769
0.02          3                  1                  0    6        256       0         1         0         2         0         0         40960       0           2           .000463      NA          .009486           .029393             .029393            .037592              640           3401
1.45          231                1                  0    6        256       0         1         0         3         0         0         40960       0           0           0.002315     NA          0.169103          0.536581            0.536581           0.65                 401           255
0.02          3                  1                  0    6        256       0         1         0         3         0         0         40960       0           1           .000084      NA          .011454           .021458             .021458            .028888              639           1860
0.02          3                  1                  0    6        256       0         1         0         3         0         0         40960       0           2           .000050      NA          .007813           .021804             .021804            .029537              639           3545
1.44          231                1                  0    6        256       0         1         0         4         0         0         40960       0           0           0.001644     NA          0.158933          0.491680            0.491679           0.61                 400           261
0.01          3                  1                  0    6        256       0         1         0         4         0         0         40960       0           1           .000077      NA          .007827           .019540             .019540            .025833              558           1581
0.02          3                  1                  0    6        256       0         1         0         4         0         0         40960       0           2           .000044      NA          .004871           .016772             .016772            .023611              558           3095
1.45          231                1                  0    6        256       0         1         0         5         0         0         40960       0           0           0.002308     NA          0.184159          0.531030            0.531029           0.65                 481           266
0.02          3                  1                  0    6        256       0         1         0         5         0         0         40960       0           1           .000091      NA          .011313           .020458             .020458            .030555              559           1738
0.02          3                  1                  0    6        256       0         1         0         5         0         0         40960       0           2           .000049      NA          .007773           .020609             .020609            .028148              559           3707
1.42          230                1                  0    6        256       0         1         0         6         0         0         40960       0           0           0.000925     NA          0.076763          0.221176            0.221176           0.34                 323           337
0.02          3                  1                  0    6        256       0         1         0         6         0         0         40960       0           1           .000020      NA          .004310           .006137             .006137            .012222              323           2557
0.02          3                  1                  0    6        256       0         1         0         6         0         0         40960       0           2           .000010      NA          .003378           .006346             .006346            .011666              324           5784
1.44          228                1                  0    8        128       0         1         0         1         0         0         40960       0           0           0.007473     NA          0.216759          0.250079            0.250079           0.34                 320           666
0.02          3                  1                  0    8        128       0         1         0         1         0         0         40960       0           1           .000246      NA          .011173           .018269             .018269            .022291              320           2873
0.02          3                  1                  0    8        128       0         1         0         1         0         0         40960       0           2           .000099      NA          .005832           .019591             .019591            .023611              320           4181
1.42          229                1                  0    8        128       0         1         0         2         0         0         40960       0           0           0.016208     NA          0.198812          0.320582            0.320582           0.42                 321           536
0.02          3                  1                  0    8        128       0         1         0         2         0         0         40960       0           1           .000356      NA          .008189           .015286             .015286            .019583              321           2538
0.02          3                  1                  0    8        128       0         1         0         2         0         0         40960       0           2           .000163      NA          .004726           .016739             .016739            .020902              321           3942
1.40          228                1                  0    8        128       0         1         0         3         0         0         40960       0           0           0.001815     NA          0.133650          0.386689            0.386689           0.46                 202           368
0.02          3                  1                  0    8        128       0         1         0         3         0         0         40960       0           1           .000077      NA          .006920           .014005             .014005            .019375              321           2153
