nodes;program;c.domain;adv.model;protocol;partysize;compiletime(s);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;514.00;NA;NA;NA;563200;64;NA;NA;NA;554400;8809;8800;0.379529;3.71;580;95;~10;1.11762;2.22654;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;520.81;NA;NA;NA;576000;64;NA;NA;NA;567000;9009;9000;0.381672;3.90;578;96;~10;1.14302;2.27714;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;529.12;NA;NA;NA;588800;64;NA;NA;NA;579600;9209;9200;0.404907;3.89;580;96;~10;1.16842;2.32774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;550.19;NA;NA;NA;601600;64;NA;NA;NA;592200;9409;9400;0.409944;4.05;578;95;~10;1.19382;2.37834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;547.14;NA;NA;NA;614400;64;NA;NA;NA;604800;9609;9600;0.412964;4.00;578;96;~10;1.21922;2.42894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;573.45;NA;NA;NA;627200;64;NA;NA;NA;617400;9809;9800;0.40922;4.10;581;96;~10;1.24462;2.47954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;582.43;NA;NA;NA;640000;64;NA;NA;NA;630000;10009;10000;0.406054;4.14;582;96;~10;1.27002;2.53014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;587.68;NA;NA;NA;652800;64;NA;NA;NA;642600;10209;10200;0.431504;4.24;583;96;~10;1.29542;2.58074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;599.83;NA;NA;NA;665600;64;NA;NA;NA;655200;10409;10400;0.431411;4.29;583;96;~10;1.32082;2.63134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;619.27;NA;NA;NA;678400;64;NA;NA;NA;667800;10609;10600;0.45725;4.56;586;96;~10;1.34622;2.68194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
