program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         400              4096        0.263394             3.93                 297           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         300              4096        0.286698             3.98                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         200              4096        0.278417             3.95                 299           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         100              4096        0.294468             3.98                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         80               4096        0.309308             3.98                 299           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         60               4096        0.298212             3.96                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         40               4096        0.32664              4.00                 298           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         30               4096        0.342953             4.00                 297           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           600              4096        0.310679             4.36                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           500              4096        0.308231             4.36                 299           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           400              4096        0.297324             4.32                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           300              4096        0.296398             4.40                 298           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           200              4096        0.310066             4.34                 296           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           100              4096        0.30574              4.40                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           80               4096        0.320467             4.35                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           60               4096        0.325929             4.35                 298           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           40               4096        0.353265             4.52                 297           93         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           30               4096        0.377073             4.44                 296           96         NA            0.520248        1.03652
