nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;220;37.3389;NA;NA;214.305;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;230;39.8315;NA;NA;234.336;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;240;43.7076;NA;NA;255.18;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;250;48.756;NA;NA;276.837;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;260;51.5993;NA;NA;299.307;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;270;56.0912;NA;NA;322.589;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;280;59.0701;NA;NA;346.684;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;290;63.2565;NA;NA;371.592;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;300;67.7869;NA;NA;397.313;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;210;34.7905;NA;NA;195.916;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;220;37.397;NA;NA;214.305;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;230;41.1303;NA;NA;234.336;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;240;44.4349;NA;NA;255.18;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;250;47.6481;NA;NA;276.837;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;260;52.0476;NA;NA;299.307;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;210;27.9735;NA;NA;11.3256;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;220;31.5408;NA;NA;12.4237;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;230;33.8279;NA;NA;13.5726;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;240;38.3415;NA;NA;14.7723;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;250;39.9729;NA;NA;16.0228;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;260;42.6125;NA;NA;17.3241;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;270;46.2326;NA;NA;18.6762;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;280;49.6417;NA;NA;20.0791;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;290;55.0139;NA;NA;21.5328;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;300;58.5558;NA;NA;23.0373;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;210;28.5261;NA;NA;11.3256;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;220;30.8521;NA;NA;12.4237;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;230;34.5914;NA;NA;13.5726;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;240;37.4456;NA;NA;14.7723;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;250;42.4467;NA;NA;16.0228;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;260;42.5667;NA;NA;17.3241;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;270;46.0074;NA;NA;18.6762;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;280;51.0115;NA;NA;20.0791;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;290;53.8791;NA;NA;21.5328;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;300;57.7655;NA;NA;23.0373;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;210;31.0948;NA;NA;11.3256;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;220;34.0702;NA;NA;12.4237;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;230;37.8753;NA;NA;13.5726;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;240;41.5284;NA;NA;14.7723;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;250;45.7701;NA;NA;16.0228;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;260;48.5616;NA;NA;17.3241;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;270;52.4818;NA;NA;18.6762;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;280;56.2344;NA;NA;20.0791;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;290;60.9719;NA;NA;21.5328;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.1;300;65.1619;NA;NA;23.0373;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2;210;32.8578;NA;NA;11.3256;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2;220;35.5441;NA;NA;12.4237;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2;230;38.9574;NA;NA;13.5726;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2;240;42.3016;NA;NA;14.7723;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2;250;45.6233;NA;NA;16.0228;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2;260;49.5186;NA;NA;17.3241;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;210;49.4676;NA;NA;753.772;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;220;54.1595;NA;NA;832.425;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;230;59.1381;NA;NA;912.704;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;240;64.5319;NA;NA;994.608;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;250;70.1956;NA;NA;1078.14;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;260;75.3825;NA;NA;1163.29;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;270;81.3795;NA;NA;1250.07;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;280;87.9672;NA;NA;1338.48;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;290;94.1882;NA;NA;1428.51;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.3;300;100.602;NA;NA;1520.17;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;210;49.381;NA;NA;753.772;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;220;54.231;NA;NA;832.425;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;230;59.2556;NA;NA;912.704;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;240;64.5759;NA;NA;994.608;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;250;69.9386;NA;NA;1078.14;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;260;75.5539;NA;NA;1163.29;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;270;81.4675;NA;NA;1250.07;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;280;87.5671;NA;NA;1338.48;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;290;94.0271;NA;NA;1428.51;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.2;300;100.497;NA;NA;1520.17;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;210;51.8255;NA;NA;753.772;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;220;57.5375;NA;NA;832.425;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;230;62.5963;NA;NA;912.704;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;240;68.1502;NA;NA;994.608;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;250;73.5978;NA;NA;1078.14;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;260;79.4731;NA;NA;1163.29;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;270;85.1052;NA;NA;1250.07;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;280;92.3248;NA;NA;1338.48;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;290;98.9375;NA;NA;1428.51;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2.1;300;105.345;NA;NA;1520.17;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;210;53.7414;NA;NA;753.772;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;220;59.7869;NA;NA;832.425;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;230;64.1815;NA;NA;912.704;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;240;70.4801;NA;NA;994.608;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;250;76.1001;NA;NA;1078.14;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;260;82.2525;NA;NA;1163.29;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;210;3.47157;NA;NA;361.946;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;220;3.96009;NA;NA;397.063;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;230;4.12226;NA;NA;433.806;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;240;4.5209;NA;NA;472.174;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;250;4.88007;NA;NA;512.168;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;260;5.25588;NA;NA;553.788;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;270;5.64596;NA;NA;597.033;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;280;6.07236;NA;NA;641.903;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;290;6.51873;NA;NA;688.4;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.3;300;7.00413;NA;NA;736.522;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;210;3.47103;NA;NA;361.946;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;220;3.8202;NA;NA;397.063;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;230;4.13767;NA;NA;433.806;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;240;4.50311;NA;NA;472.174;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;250;4.88262;NA;NA;512.168;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;260;5.26856;NA;NA;553.788;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;270;5.65926;NA;NA;597.033;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;280;6.05622;NA;NA;641.903;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;290;6.51942;NA;NA;688.4;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.2;300;6.94643;NA;NA;736.522;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;210;3.59742;NA;NA;361.946;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;220;3.97195;NA;NA;397.063;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;230;4.30916;NA;NA;433.806;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;240;4.71235;NA;NA;472.174;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;250;5.10062;NA;NA;512.168;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;260;5.46814;NA;NA;553.788;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;270;5.93015;NA;NA;597.033;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;280;6.38171;NA;NA;641.903;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;290;6.82051;NA;NA;688.4;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2.1;300;7.24848;NA;NA;736.522;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2;210;3.77033;NA;NA;361.946;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2;220;4.15513;NA;NA;397.063;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2;230;4.49034;NA;NA;433.806;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2;240;4.89191;NA;NA;472.174;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2;250;5.32446;NA;NA;512.168;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;2;260;5.71959;NA;NA;553.788;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;210;3.41171;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;220;3.72481;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;230;4.0968;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;240;4.44361;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;250;4.82508;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;260;5.20382;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;270;5.56735;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;280;6.02205;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;290;6.42325;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.3;300;6.91304;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;210;3.47526;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;220;3.73536;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;230;4.08595;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;240;4.42613;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;250;4.8161;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;260;5.18019;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;270;5.60534;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;280;6.00657;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;290;6.42775;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.2;300;6.88822;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;210;3.59225;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;220;3.97169;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;230;4.29726;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;240;4.71192;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;250;5.0791;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;260;5.46737;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;270;5.90925;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;280;6.3424;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;290;6.79875;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2.1;300;7.29028;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2;210;3.78562;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2;220;4.14538;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2;230;4.53395;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2;240;4.90179;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2;250;5.31886;NA;NA;0;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yaoO;2;2;260;5.711;NA;NA;0;NA
